Time: 263 - [Conveyor towards Queue 1] GOT Part 33
Time: 268 - [Conveyor towards Queue 2] PUT Part 32 in the Queue 2
Time: 272 - [Conveyor towards Queue 1] PUT Part 33 in the Queue 1
Time: 273 - [Machine 1] got Part 33 from Queue 1 (capacity= 0)
Time: 274 - [Conveyor towards Queue 5] PUT Part 17 in the Queue 5
! Using 'alternated' policy to allocate Part 31 to Queue 4
Time: 275 - [Conveyor towards Queue 4] GOT Part 31
Time: 275 - [Machine 2] got Part 32 from Queue 2 (capacity= 0)
Time: 275 - [Machine 5] got Part 17 from Queue 5 (capacity= 0)
! Using 'alternated' policy to allocate Part 29 to Queue 5
Time: 279 - [Conveyor towards Queue 5] GOT Part 29
! Using 'alternated' policy to allocate Part 33 to Queue 2
Time: 284 - [Conveyor towards Queue 2] GOT Part 33
! Using 'alternated' policy to allocate Part 17 to Queue 1
Time: 285 - [Terminator] xxx Part 17 terminated xxx
Time: 285 - [Terminator] Part 34 replaced
Time: 285 - [Conveyor towards Queue 1] GOT Part 34
Time: 290 - [Conveyor towards Queue 5] PUT Part 29 in the Queue 5
Time: 291 - [Machine 5] got Part 29 from Queue 5 (capacity= 0)
! Using 'alternated' policy to allocate Part 32 to Queue 3
Time: 292 - [Conveyor towards Queue 3] GOT Part 32
Time: 294 - [Conveyor towards Queue 1] PUT Part 34 in the Queue 1
Time: 295 - [Machine 1] got Part 34 from Queue 1 (capacity= 0)
Time: 295 - [Conveyor towards Queue 2] PUT Part 33 in the Queue 2
Time: 295 - [Conveyor towards Queue 4] PUT Part 31 in the Queue 4
Time: 296 - [Machine 2] got Part 33 from Queue 2 (capacity= 0)
Time: 296 - [Machine 4] got Part 31 from Queue 4 (capacity= 0)
! Using 'alternated' policy to allocate Part 29 to Queue 1
Time: 301 - [Terminator] xxx Part 29 terminated xxx
Time: 301 - [Terminator] Part 35 replaced
Time: 301 - [Conveyor towards Queue 1] GOT Part 35
! Using 'alternated' policy to allocate Part 34 to Queue 2
Time: 306 - [Conveyor towards Queue 2] GOT Part 34
Time: 310 - [Conveyor towards Queue 1] PUT Part 35 in the Queue 1
Time: 311 - [Machine 1] got Part 35 from Queue 1 (capacity= 0)
! Using 'alternated' policy to allocate Part 33 to Queue 4
Time: 313 - [Conveyor towards Queue 4] GOT Part 33
Time: 315 - [Conveyor towards Queue 3] PUT Part 32 in the Queue 3
Time: 317 - [Conveyor towards Queue 2] PUT Part 34 in the Queue 2
Time: 318 - [Machine 2] got Part 34 from Queue 2 (capacity= 0)
! Using 'alternated' policy to allocate Part 35 to Queue 2
Time: 322 - [Conveyor towards Queue 2] GOT Part 35
! Using 'alternated' policy to allocate Part 19 to Queue 5
Time: 323 - [Conveyor towards Queue 5] GOT Part 19
Time: 323 - [Machine 3] got Part 20 from Queue 3 (capacity= 6)
Time: 333 - [Conveyor towards Queue 2] PUT Part 35 in the Queue 2
Time: 333 - [Conveyor towards Queue 4] PUT Part 33 in the Queue 4
! Using 'alternated' policy to allocate Part 31 to Queue 5
Time: 334 - [Conveyor towards Queue 5] GOT Part 31
Time: 334 - [Machine 4] got Part 33 from Queue 4 (capacity= 0)
Time: 334 - [Conveyor towards Queue 5] PUT Part 19 in the Queue 5
! Using 'alternated' policy to allocate Part 34 to Queue 3
Time: 335 - [Conveyor towards Queue 3] GOT Part 34
Time: 335 - [Machine 2] got Part 35 from Queue 2 (capacity= 0)
Time: 335 - [Machine 5] got Part 19 from Queue 5 (capacity= 0)
! Using 'alternated' policy to allocate Part 19 to Queue 1
Time: 345 - [Terminator] xxx Part 19 terminated xxx
Time: 345 - [Terminator] Part 36 replaced
Time: 345 - [Conveyor towards Queue 1] GOT Part 36
Time: 345 - [Conveyor towards Queue 5] PUT Part 31 in the Queue 5
=== Reading all the events from table: digital_log ===
(1, 0, 'Machine 2', 'Started', 'Part 18', 'Queue 2', None, None)
(51, 139, 'Machine 5', 'Started', 'Part 21', 'Queue 5', None, None)
(52, 143, 'Machine 3', 'Finished', 'Part 13', 'Queue 5', None, None)
(53, 143, 'Machine 3', 'Started', 'Part 15', 'Queue 3', None, None)
(54, 149, 'Machine 5', 'Finished', 'Part 21', 'Queue 1', None, None)
(55, 155, 'Machine 2', 'Finished', 'Part 26', 'Queue 3', None, None)
(56, 155, 'Machine 2', 'Started', 'Part 27', 'Queue 2', None, None)
(57, 155, 'Machine 5', 'Started', 'Part 13', 'Queue 5', None, None)
(58, 159, 'Machine 1', 'Started', 'Part 28', 'Queue 1', None, None)
(59, 165, 'Machine 4', 'Finished', 'Part 23', 'Queue 5', None, None)
(60, 165, 'Machine 4', 'Started', 'Part 25', 'Queue 4', None, None)
(61, 165, 'Machine 5', 'Finished', 'Part 13', 'Queue 1', None, None)
(62, 170, 'Machine 1', 'Finished', 'Part 28', 'Queue 2', None, None)
(63, 172, 'Machine 2', 'Finished', 'Part 27', 'Queue 4', None, None)
(64, 175, 'Machine 1', 'Started', 'Part 29', 'Queue 1', None, None)
(65, 177, 'Machine 5', 'Started', 'Part 23', 'Queue 5', None, None)
(66, 182, 'Machine 2', 'Started', 'Part 28', 'Queue 2', None, None)
(67, 186, 'Machine 1', 'Finished', 'Part 29', 'Queue 2', None, None)
(68, 187, 'Machine 5', 'Finished', 'Part 23', 'Queue 1', None, None)
(69, 197, 'Machine 1', 'Started', 'Part 30', 'Queue 1', None, None)
(70, 199, 'Machine 2', 'Finished', 'Part 28', 'Queue 3', None, None)
(71, 199, 'Machine 2', 'Started', 'Part 29', 'Queue 2', None, None)
(72, 203, 'Machine 3', 'Finished', 'Part 15', 'Queue 5', None, None)
(73, 203, 'Machine 3', 'Started', 'Part 17', 'Queue 3', None, None)
(74, 203, 'Machine 4', 'Finished', 'Part 25', 'Queue 5', None, None)
(75, 203, 'Machine 4', 'Started', 'Part 27', 'Queue 4', None, None)
(76, 208, 'Machine 1', 'Finished', 'Part 30', 'Queue 2', None, None)
(77, 215, 'Machine 5', 'Started', 'Part 15', 'Queue 5', None, None)
(78, 216, 'Machine 2', 'Finished', 'Part 29', 'Queue 4', None, None)
(79, 220, 'Machine 2', 'Started', 'Part 30', 'Queue 2', None, None)
(80, 225, 'Machine 5', 'Finished', 'Part 15', 'Queue 1', None, None)
(81, 225, 'Machine 5', 'Started', 'Part 25', 'Queue 5', None, None)
(82, 235, 'Machine 5', 'Finished', 'Part 25', 'Queue 1', None, None)
(83, 235, 'Machine 1', 'Started', 'Part 31', 'Queue 1', None, None)
(84, 237, 'Machine 2', 'Finished', 'Part 30', 'Queue 3', None, None)
(85, 241, 'Machine 4', 'Finished', 'Part 27', 'Queue 5', None, None)
(86, 241, 'Machine 4', 'Started', 'Part 29', 'Queue 4', None, None)
(87, 246, 'Machine 1', 'Finished', 'Part 31', 'Queue 2', None, None)
(88, 246, 'Machine 1', 'Started', 'Part 32', 'Queue 1', None, None)
(89, 253, 'Machine 5', 'Started', 'Part 27', 'Queue 5', None, None)
(90, 257, 'Machine 1', 'Finished', 'Part 32', 'Queue 2', None, None)
(91, 258, 'Machine 2', 'Started', 'Part 31', 'Queue 2', None, None)
(92, 263, 'Machine 3', 'Finished', 'Part 17', 'Queue 5', None, None)
(93, 263, 'Machine 3', 'Started', 'Part 19', 'Queue 3', None, None)
(94, 263, 'Machine 5', 'Finished', 'Part 27', 'Queue 1', None, None)
(95, 273, 'Machine 1', 'Started', 'Part 33', 'Queue 1', None, None)
(96, 275, 'Machine 2', 'Finished', 'Part 31', 'Queue 4', None, None)
(97, 275, 'Machine 2', 'Started', 'Part 32', 'Queue 2', None, None)
(98, 275, 'Machine 5', 'Started', 'Part 17', 'Queue 5', None, None)
(99, 279, 'Machine 4', 'Finished', 'Part 29', 'Queue 5', None, None)
(100, 284, 'Machine 1', 'Finished', 'Part 33', 'Queue 2', None, None)
(101, 285, 'Machine 5', 'Finished', 'Part 17', 'Queue 1', None, None)
(102, 291, 'Machine 5', 'Started', 'Part 29', 'Queue 5', None, None)
(103, 292, 'Machine 2', 'Finished', 'Part 32', 'Queue 3', None, None)
(104, 295, 'Machine 1', 'Started', 'Part 34', 'Queue 1', None, None)
(105, 296, 'Machine 2', 'Started', 'Part 33', 'Queue 2', None, None)
(106, 296, 'Machine 4', 'Started', 'Part 31', 'Queue 4', None, None)
(107, 301, 'Machine 5', 'Finished', 'Part 29', 'Queue 1', None, None)
(108, 306, 'Machine 1', 'Finished', 'Part 34', 'Queue 2', None, None)
(109, 311, 'Machine 1', 'Started', 'Part 35', 'Queue 1', None, None)
(110, 313, 'Machine 2', 'Finished', 'Part 33', 'Queue 4', None, None)
(111, 318, 'Machine 2', 'Started', 'Part 34', 'Queue 2', None, None)
(112, 322, 'Machine 1', 'Finished', 'Part 35', 'Queue 2', None, None)
(113, 323, 'Machine 3', 'Finished', 'Part 19', 'Queue 5', None, None)
(114, 323, 'Machine 3', 'Started', 'Part 20', 'Queue 3', None, None)
(115, 334, 'Machine 4', 'Finished', 'Part 31', 'Queue 5', None, None)
(116, 334, 'Machine 4', 'Started', 'Part 33', 'Queue 4', None, None)
(117, 335, 'Machine 2', 'Finished', 'Part 34', 'Queue 3', None, None)
(118, 335, 'Machine 2', 'Started', 'Part 35', 'Queue 2', None, None)
(119, 335, 'Machine 5', 'Started', 'Part 19', 'Queue 5', None, None)
(120, 345, 'Machine 5', 'Finished', 'Part 19', 'Queue 1', None, None)
### ============ Simulation Done ============ ###
> Predicting RCT for Part 19...
> RCT for Part 19: 345
parts_branch_queue_vect = [('Part 14', None), ('Part 13', None), ('Part 16', None), ('Part 15', None), ('Part 19', None), ('Part 17', None), ('Part 21', None), ('Part 18', None), ('Part 9', None), ('Part 20', None), ('Part 11', None), ('Part 22', None)]
====================================== Running Scenario for Part 19 | Path 2 ======================================
--- Showing Path for Part 19 ---
|-- Conveyor towards Queue 4
---
### ============ Simulation Started ============ ###
Time: 0 - [Machine 2] got Part 18 from Queue 2 (capacity= 3)
! Using 'alternated' policy to allocate Part 22 to Queue 2
Time: 8 - [Conveyor towards Queue 2] GOT Part 22
! Using 'alternated' policy to allocate Part 14 to Queue 5
Time: 12 - [Conveyor towards Queue 5] GOT Part 14
Time: 12 - [Machine 4] got Part 16 from Queue 4 (capacity= 0)
! Using 'alternated' policy to allocate Part 18 to Queue 4
Time: 17 - [Conveyor towards Queue 4] GOT Part 18
Time: 17 - [Machine 2] got Part 19 from Queue 2 (capacity= 2)
Time: 19 - [Conveyor towards Queue 2] PUT Part 22 in the Queue 2
! Using 'alternated' policy to allocate Part 9 to Queue 5
Time: 23 - [Conveyor towards Queue 5] GOT Part 9
Time: 23 - [Machine 3] got Part 11 from Queue 3 (capacity= 3)
Time: 23 - [Conveyor towards Queue 5] PUT Part 14 in the Queue 5
Time: 24 - [Machine 5] got Part 14 from Queue 5 (capacity= 0)
Time: 34 - [Conveyor towards Queue 4] GOT Part 19
Time: 34 - [Machine 2] got Part 20 from Queue 2 (capacity= 2)
! Using 'alternated' policy to allocate Part 14 to Queue 1
Time: 34 - [Terminator] xxx Part 14 terminated xxx
Time: 34 - [Terminator] Part 23 replaced
Time: 34 - [Conveyor towards Queue 1] GOT Part 23
Time: 34 - [Conveyor towards Queue 5] PUT Part 9 in the Queue 5
Time: 35 - [Machine 5] got Part 9 from Queue 5 (capacity= 0)
Time: 37 - [Conveyor towards Queue 4] PUT Part 18 in the Queue 4
Time: 43 - [Conveyor towards Queue 1] PUT Part 23 in the Queue 1
Time: 44 - [Machine 1] got Part 23 from Queue 1 (capacity= 0)
! Using 'alternated' policy to allocate Part 9 to Queue 1
Time: 45 - [Terminator] xxx Part 9 terminated xxx
Time: 45 - [Terminator] Part 24 replaced
Time: 45 - [Conveyor towards Queue 1] GOT Part 24
! Using 'alternated' policy to allocate Part 16 to Queue 5
Time: 50 - [Conveyor towards Queue 5] GOT Part 16
Time: 50 - [Machine 4] got Part 18 from Queue 4 (capacity= 0)
! Using 'alternated' policy to allocate Part 20 to Queue 3
Time: 51 - [Conveyor towards Queue 3] GOT Part 20
Time: 51 - [Machine 2] got Part 21 from Queue 2 (capacity= 1)
Time: 54 - [Conveyor towards Queue 4] PUT Part 19 in the Queue 4
Time: 54 - [Conveyor towards Queue 1] PUT Part 24 in the Queue 1
! Using 'alternated' policy to allocate Part 23 to Queue 2
Time: 55 - [Conveyor towards Queue 2] GOT Part 23
Time: 55 - [Machine 1] got Part 24 from Queue 1 (capacity= 0)
Time: 61 - [Conveyor towards Queue 5] PUT Part 16 in the Queue 5
Time: 62 - [Machine 5] got Part 16 from Queue 5 (capacity= 0)
! Using 'alternated' policy to allocate Part 24 to Queue 2
Time: 66 - [Conveyor towards Queue 2] GOT Part 24
Time: 66 - [Conveyor towards Queue 2] PUT Part 23 in the Queue 2
! Using 'alternated' policy to allocate Part 21 to Queue 4
Time: 68 - [Conveyor towards Queue 4] GOT Part 21
Time: 68 - [Machine 2] got Part 22 from Queue 2 (capacity= 1)
! Using 'alternated' policy to allocate Part 16 to Queue 1
Time: 72 - [Terminator] xxx Part 16 terminated xxx
Time: 72 - [Terminator] Part 25 replaced
Time: 72 - [Conveyor towards Queue 1] GOT Part 25
Time: 74 - [Conveyor towards Queue 3] PUT Part 20 in the Queue 3
Time: 77 - [Conveyor towards Queue 2] PUT Part 24 in the Queue 2
Time: 81 - [Conveyor towards Queue 1] PUT Part 25 in the Queue 1
Time: 82 - [Machine 1] got Part 25 from Queue 1 (capacity= 0)
! Using 'alternated' policy to allocate Part 11 to Queue 5
Time: 83 - [Conveyor towards Queue 5] GOT Part 11
Time: 83 - [Machine 3] got Part 13 from Queue 3 (capacity= 3)
! Using 'alternated' policy to allocate Part 22 to Queue 3
Time: 85 - [Conveyor towards Queue 3] GOT Part 22
Time: 85 - [Machine 2] got Part 23 from Queue 2 (capacity= 1)
! Using 'alternated' policy to allocate Part 18 to Queue 5
Time: 88 - [Conveyor towards Queue 5] GOT Part 18
Time: 88 - [Machine 4] got Part 19 from Queue 4 (capacity= 0)
Time: 88 - [Conveyor towards Queue 4] PUT Part 21 in the Queue 4
! Using 'alternated' policy to allocate Part 25 to Queue 2
Time: 93 - [Conveyor towards Queue 2] GOT Part 25
Time: 94 - [Conveyor towards Queue 5] PUT Part 11 in the Queue 5
Time: 95 - [Machine 5] got Part 11 from Queue 5 (capacity= 0)
Time: 99 - [Conveyor towards Queue 5] PUT Part 18 in the Queue 5
! Using 'alternated' policy to allocate Part 23 to Queue 4
Time: 102 - [Conveyor towards Queue 4] GOT Part 23
Time: 102 - [Machine 2] got Part 24 from Queue 2 (capacity= 0)
Time: 104 - [Conveyor towards Queue 2] PUT Part 25 in the Queue 2
! Using 'alternated' policy to allocate Part 11 to Queue 1
Time: 105 - [Terminator] xxx Part 11 terminated xxx
Time: 105 - [Terminator] Part 26 replaced
Time: 105 - [Conveyor towards Queue 1] GOT Part 26
Time: 105 - [Machine 5] got Part 18 from Queue 5 (capacity= 0)
Time: 108 - [Conveyor towards Queue 3] PUT Part 22 in the Queue 3
Time: 114 - [Conveyor towards Queue 1] PUT Part 26 in the Queue 1
! Using 'alternated' policy to allocate Part 18 to Queue 1
Time: 115 - [Terminator] xxx Part 18 terminated xxx
Time: 115 - [Terminator] Part 27 replaced
Time: 115 - [Conveyor towards Queue 1] GOT Part 27
Time: 115 - [Machine 1] got Part 26 from Queue 1 (capacity= 0)
! Using 'alternated' policy to allocate Part 24 to Queue 3
Time: 119 - [Conveyor towards Queue 3] GOT Part 24
Time: 119 - [Machine 2] got Part 25 from Queue 2 (capacity= 0)
Time: 122 - [Conveyor towards Queue 4] PUT Part 23 in the Queue 4
Time: 124 - [Conveyor towards Queue 1] PUT Part 27 in the Queue 1
! Using 'alternated' policy to allocate Part 19 to Queue 5
Time: 126 - [Conveyor towards Queue 5] GOT Part 19
Time: 126 - [Machine 4] got Part 21 from Queue 4 (capacity= 1)
! Using 'alternated' policy to allocate Part 26 to Queue 2
Time: 126 - [Conveyor towards Queue 2] GOT Part 26
Time: 126 - [Machine 1] got Part 27 from Queue 1 (capacity= 0)
! Using 'alternated' policy to allocate Part 25 to Queue 4
Time: 136 - [Conveyor towards Queue 4] GOT Part 25
! Using 'alternated' policy to allocate Part 27 to Queue 2
Time: 137 - [Conveyor towards Queue 2] GOT Part 27
Time: 137 - [Conveyor towards Queue 2] PUT Part 26 in the Queue 2
Time: 137 - [Conveyor towards Queue 5] PUT Part 19 in the Queue 5
Time: 138 - [Machine 2] got Part 26 from Queue 2 (capacity= 0)
Time: 138 - [Machine 5] got Part 19 from Queue 5 (capacity= 0)
Time: 142 - [Conveyor towards Queue 3] PUT Part 24 in the Queue 3
! Using 'alternated' policy to allocate Part 13 to Queue 5
Time: 143 - [Conveyor towards Queue 5] GOT Part 13
Time: 143 - [Machine 3] got Part 15 from Queue 3 (capacity= 4)
! Using 'alternated' policy to allocate Part 19 to Queue 1
Time: 148 - [Terminator] xxx Part 19 terminated xxx
Time: 148 - [Terminator] Part 28 replaced
Time: 148 - [Conveyor towards Queue 1] GOT Part 28
Time: 148 - [Conveyor towards Queue 2] PUT Part 27 in the Queue 2
=== Reading all the events from table: digital_log ===
(1, 0, 'Machine 2', 'Started', 'Part 18', 'Queue 2', None, None)
(2, 8, 'Machine 1', 'Finished', 'Part 22', 'Queue 2', None, None)
(3, 12, 'Machine 4', 'Finished', 'Part 14', 'Queue 5', None, None)
(4, 12, 'Machine 4', 'Started', 'Part 16', 'Queue 4', None, None)
(5, 17, 'Machine 2', 'Finished', 'Part 18', 'Queue 4', None, None)
(6, 17, 'Machine 2', 'Started', 'Part 19', 'Queue 2', None, None)
(7, 23, 'Machine 3', 'Finished', 'Part 9', 'Queue 5', None, None)
(8, 23, 'Machine 3', 'Started', 'Part 11', 'Queue 3', None, None)
(9, 24, 'Machine 5', 'Started', 'Part 14', 'Queue 5', None, None)
(10, 34, 'Machine 2', 'Finished', 'Part 19', 'Queue 4', None, None)
(11, 34, 'Machine 2', 'Started', 'Part 20', 'Queue 2', None, None)
(12, 34, 'Machine 5', 'Finished', 'Part 14', 'Queue 1', None, None)
(13, 35, 'Machine 5', 'Started', 'Part 9', 'Queue 5', None, None)
(14, 44, 'Machine 1', 'Started', 'Part 23', 'Queue 1', None, None)
(15, 45, 'Machine 5', 'Finished', 'Part 9', 'Queue 1', None, None)
(16, 50, 'Machine 4', 'Finished', 'Part 16', 'Queue 5', None, None)
(17, 50, 'Machine 4', 'Started', 'Part 18', 'Queue 4', None, None)
(18, 51, 'Machine 2', 'Finished', 'Part 20', 'Queue 3', None, None)
(19, 51, 'Machine 2', 'Started', 'Part 21', 'Queue 2', None, None)
(20, 55, 'Machine 1', 'Finished', 'Part 23', 'Queue 2', None, None)
(21, 55, 'Machine 1', 'Started', 'Part 24', 'Queue 1', None, None)
(22, 62, 'Machine 5', 'Started', 'Part 16', 'Queue 5', None, None)
(23, 66, 'Machine 1', 'Finished', 'Part 24', 'Queue 2', None, None)
(24, 68, 'Machine 2', 'Finished', 'Part 21', 'Queue 4', None, None)
(25, 68, 'Machine 2', 'Started', 'Part 22', 'Queue 2', None, None)
(26, 72, 'Machine 5', 'Finished', 'Part 16', 'Queue 1', None, None)
(27, 82, 'Machine 1', 'Started', 'Part 25', 'Queue 1', None, None)
(28, 83, 'Machine 3', 'Finished', 'Part 11', 'Queue 5', None, None)
(29, 83, 'Machine 3', 'Started', 'Part 13', 'Queue 3', None, None)
(30, 85, 'Machine 2', 'Finished', 'Part 22', 'Queue 3', None, None)
(31, 85, 'Machine 2', 'Started', 'Part 23', 'Queue 2', None, None)
(32, 88, 'Machine 4', 'Finished', 'Part 18', 'Queue 5', None, None)
(33, 88, 'Machine 4', 'Started', 'Part 19', 'Queue 4', None, None)
(34, 93, 'Machine 1', 'Finished', 'Part 25', 'Queue 2', None, None)
(35, 95, 'Machine 5', 'Started', 'Part 11', 'Queue 5', None, None)
(36, 102, 'Machine 2', 'Finished', 'Part 23', 'Queue 4', None, None)
(37, 102, 'Machine 2', 'Started', 'Part 24', 'Queue 2', None, None)
