Title,Year,Cited by,Link,Affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Source
"Maintenance optimization for a multi-unit system with digital twin simulation: Example from the mining industry",2021,9,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101239696&doi=10.1007%2fs10845-021-01740-z&partnerID=40&md5=c375c2f12b04ecc2da2eeb8199bb2473","Lappeenranta University of Technology, School of Business and Management, Yliopistonkatu 34, Lappeenranta, 53850, Finland; Department of Industrial Engineering, University of Trento, via Sommarive 9, Povo, TN  38123, Italy","Optimization of operations and maintenance (O&M) in the industry is a topic that has been largely studied in the literature. Many authors focused on reliability-based approaches to optimize O&M, but little attention has been given to study the influence of macroeconomic variables on the long-term maintenance policy. This work aims to optimize time-based maintenance (TBM) policy in the mining industry. The mine environment is reproduced employing a virtual model that resembles a digital twin (DT) of the system. The effect of maintenance decisions is replicated by a discrete event simulation (DES), whereas a model of the financial operability of the mine is realized through System Dynamics (SD). The simultaneous use of DES and the SD allows us to reproduce the environment with high-fidelity and to minimize the cost of O&M. The selected illustrative case example demonstrates that the proposed approach is feasible. The issues of using high dimensional simulation data from DT-models in managerial decision making is identified and discussed. © 2021, The Author(s).","Digital twin; Maintenance optimization; Optimization; Simulation","Decision making; Discrete event simulation; Maintenance; Long-term maintenances; Macroeconomic variables; Maintenance decisions; Maintenance optimization; Managerial decision making; Multi-unit system; Operations and maintenance; Time based maintenance; Digital twin",Article,Scopus
"A digital twin simulator for real time energy saving control of serial manufacturing system",2021,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115415133&doi=10.1109%2fRCAR52367.2021.9517579&partnerID=40&md5=33e4b8750cd6246d15064a85dce25651","Huazhong University of Science and Technology, Department of Industrial and Manufacturing System Engineering, Wuhan, 430074, China","As ecological environment is paid more and more attention all over the world, energy conservation, emission reduction and low-carbon development have become a global consensus. For energy-saving problem of discrete serial manufacturing system, the operation process of a digital twin based energy saving manufacturing system is proposed. In order to test interaction between physical and virtual system for energy efficient manufacturing, a digital twin simulator is established. In this simulator, a discrete event software is used to construct and imitate the operation of the physical manufacturing system, while the digital manufacturing system is build in MATLAB and used to control the operation of the physical manufacturing system. The production data are collected real time in the simulated physical system and transmitted to the digital system. Energy saving strategy and key indicator monitoring are implemented in the digital space. The generated energy saving command are sent to the mimetic manufacturing system of the physical space and the machines on/off states are controlled to save energy consumption. A case study is given to shown the real-time energy saving operation of discrete manufacturing system. © 2021 IEEE.",,"Emission control; Energy efficiency; Energy utilization; MATLAB; Simulators; Ecological environments; Emission reduction; Energy savings; Energy-saving control; Energy-savings; Physical systems; Real- time; Serial manufacturing; Time energy; World energies; Manufacture",Conference Paper,Scopus
"Partial least squares regression of oil sands processing variables within discrete event simulation digital twin",2021,6,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108596250&doi=10.3390%2fmin11070689&partnerID=40&md5=90086f7897b01b8c9cc8f4991b37df1a","Department of Mining and Materials Engineering, McGill University, 3610 University Street, Montreal, QC  H3A 0C5, Canada; National Research Council Canada, 1200 Montreal Road, Ottawa, ON  K1A 0R6, Canada; Corem, 1180 Rue de la Minéralogie, Quebec, QC  G1N 1X7, Canada","Oil remains a major contributor to global primary energy supply and is, thus, fundamental to the continued functioning of modern society and related industries. Conventional oil and gas reserves are finite and are being depleted at a relatively rapid pace. With alternative fuels and technologies still unable to fill the gap, research and development of unconventional petroleum resources have accelerated markedly in the past 20 years. With some of the largest bitumen deposits in the world, Canada has an active oil mining and refining industry. Bitumen deposits, also called oil sands, are formed in complex geological environments and subject to a host of syn-and post-depositional processes. As a result, some ores are heterogeneous, at both individual reservoir and regional scales, which poses significant problems in terms of extractive processing. Moreover, with increased environmental awareness and enhanced governmental regulations and industry best practices, it is critical for oil sands producers to improve process efficiencies across the spectrum. Discrete event simulation (DES) is a computational paradigm to develop dynamic digital twins, including the interactions of critical variables and processes. In the case of mining systems, the digital twin includes aspects of geological uncertainty. The resulting simulations include alternate operational modes that are characterized by separate operational policies and tactics. The current DES framework has been customized to integrate predictive modelling data, generated via partial least squares (PLS) regression, in order to evaluate system-wide response to geological uncertainty. Sample computations that are based on data from Canada’s oil sands are presented, showing the framework to be a powerful tool to assess and attenuate operational risk factors in the extractive processing of bitumen deposits. Specifically, this work addresses blending control strategies prior to bitumen extraction and provides a pathway to incorporate geological variation into decision-making processes throughout the value chain. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Bitumen extraction; Bitumen processability; Digital twin; Discrete event simulation; Geological uncertainty; Modes of operation; Multivariate statistics; Oil sands; Partial least squares regression",,Article,Scopus
"Simulation-based hybrid optimization method for the digital twin of garment production lines",2021,3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106678797&doi=10.1115%2f1.4050245&partnerID=40&md5=c4b742ed167456a3bc129735090e95ef","Soft Robotics Research Center, Seoul National University, Seoul, 08826, South Korea; Hojeon Limited, Seoul, 04165, South Korea; Graduate School of Engineering Practice, Institute of Engineering Research, Seoul National University, Seoul, 08826, South Korea","Implementing digital transformation in the garment industry is very difficult, owing to its labor-intensive structural characteristics. Further, the productivity of a garment production system is considerably influenced by a combination of processes and operators. This study proposes a simulation-based hybrid optimization method to maximize the productivity of a garment production line. The simulation reflects the actual site characteristics, i.e., process and operator level indices, and the optimization process reflects constraints based on expert knowledge. The optimization process derives an optimal operator sequence through a genetic algorithm (GA) and sequentially removes bottlenecks through workload analysis based on the results. The proposed simulation optimization (SO) method improved productivity by ∼67.4%, which is 52.3% higher than that obtained by the existing meta-heuristic algorithm. The correlation between workload and production was verified by analyzing the workload change trends. This study holds significance because it presents a new simulationbased optimization model that further applies the workload distribution method by eliminating bottlenecks and digitizing garment production lines. Copyright © 2021 by ASME.","Bottleneck removal; Cyber physical system design and operation; Cybermanufacturing; Digital transformation; Discrete-event simulation; Garment production line; Genetic algorithm; Industrial Internet of Things; Manufacturing planning; Workload optimization","Clothes; Digital twin; Genetic algorithms; Heuristic algorithms; Heuristic methods; Productivity; Digital transformation; Hybrid optimization method; Meta heuristic algorithm; Simulation optimization; Simulation-based optimizations; Site characteristics; Structural characteristics; Work-load distribution; Garment industry",Article,Scopus
"A five-step approach to planning data-driven digital twins for discrete manufacturing systems",2021,11,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104931860&doi=10.3390%2fapp11083639&partnerID=40&md5=b37acaaf9d18ee1cbb286ffe37e7649b","Faculty of Mechanical Engineering, University of Ljubljana, Ljubljana, 1000, Slovenia","A digital twin of a manufacturing system is a digital copy of the physical manufacturing system that consists of various digital models at multiple scales and levels. Digital twins that communicate with their physical counterparts throughout their lifecycle are the basis for data-driven factories. The problem with developing digital models that form the digital twin is that they operate with large amounts of heterogeneous data. Since the models represent simplifications of the physical world, managing the heterogeneous data and linking the data with the digital twin represent a challenge. The paper proposes a five-step approach to planning data-driven digital twins of manufacturing systems and their processes. The approach guides the user from breaking down the system and the underlying building blocks of the processes into four groups. The development of a digital model includes predefined necessary parameters that allow a digital model connecting with a real manufacturing system. The connection enables the control of the real manufacturing system and allows the creation of the digital twin. Presentation and visualization of a system functioning based on the digital twin for different participants is presented in the last step. The suitability of the approach for the industrial environment is illustrated using the case study of planning the digital twin for material logistics of the manufacturing system. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Data-driven factory; Digital model; Digital twin; Discrete-event simulation; Modelling",,Article,Scopus
"Field-synchronized Digital Twin framework for production scheduling with uncertainty",2021,29,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102563435&doi=10.1007%2fs10845-020-01685-9&partnerID=40&md5=c4018d3d70e90d5c413c6e663319398f","Department of Management, Politecnico di Milano, Economics and Industrial Engineering, Milan, Italy; Mechanical and Materials Engineering, College of Engineering and Applied Science, University of Cincinnati, Cincinnati, United States; Department of Mechanical Engineering, Thapar Institute of Engineering and Technology, Patiala, India","Research on scheduling problems is an evergreen challenge for industrial engineers. The growth of digital technologies opens the possibility to collect and analyze great amount of field data in real-time, representing a precious opportunity for an improved scheduling activity. Thus, scheduling under uncertain scenarios may benefit from the possibility to grasp the current operating conditions of the industrial equipment in real-time and take them into account when elaborating the best production schedules. To this end, the article proposes a proof-of-concept of a simheuristics framework for robust scheduling applied to a Flow Shop Scheduling Problem. The framework is composed of genetic algorithms for schedule optimization and discrete event simulation and is synchronized with the field through a Digital Twin (DT) that employs an Equipment Prognostics and Health Management (EPHM) module. The contribution of the EPHM module inside the DT-based framework is the real time computation of the failure probability of the equipment, with data-driven statistical models that take sensor data from the field as input. The viability of the framework is demonstrated in a flow shop application in a laboratory environment. © 2020, The Author(s).","Digital Twin; Equipment health; Fault detection; FSSP; PHM; Robust scheduling; Simheuristics","Digital twin; Discrete event simulation; Genetic algorithms; Industrial research; Machine shop practice; Production control; Digital technologies; Flow shop scheduling problem; Industrial equipment; Laboratory environment; Production Scheduling; Prognostics and health managements; Real-time computations; Schedule optimizations; Scheduling",Article,Scopus
"Inference of Simulation Models in Digital Twins by Reinforcement Learning",2021,1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124024999&doi=10.1109%2fMODELS-C53483.2021.00038&partnerID=40&md5=1519485fec7dad14432add4dd450f548","Université De Montréal, DIRO, Canada","The typical optimization and control activities of Digital Twins are driven by high-performance simulators. Due to the significant complexity of systems subject to digital twinning, constructing simulators of appropriate details is a costly and error-prone endeavor. To alleviate these problems, we propose an approach for inferring simulation models of Digital Twins by machine learning. Instead of learning the simulation model of one specific simulator, we aim at learning their construction process. This generality enables reusing the inferred knowledge in different (but congruent) Digital Twin settings. To achieve this level of generality, we propose the Discrete Event System Specification (DEVS) formalism for capturing simulation models; and reinforcement learning (RL) for inferring DEVS models. In this paper, we explore the opportunities and challenges in combining these two techniques. © 2021 IEEE.","DEVS; digital twins; reinforcement learning; simulation","Discrete event simulation; E-learning; Reinforcement learning; Simulators; Construction process; Control activities; Discrete-Event System Specification; Error prones; Optimization and control; Performance simulator; Reinforcement learnings; Simulation; Simulation model; Specification models; Specifications",Conference Paper,Scopus
"Building Discrete-Event Simulation for Digital Twin Applications in Production Systems",2021,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122949787&doi=10.1109%2fETFA45728.2021.9613425&partnerID=40&md5=fb1034e890dc980c71bfe55af21160d2","Mathematics And Industrial Engineering Ecole Polytechnique De Montreál, Montreál, Canada","Digital equivalence is the main objective of Digital Twin (DT)s, and simulation is an integral part. DTs reach beyond traditional simulation with the help of real-time synchronization through Industrial Internet of Things (IIoT) technologies. Simulation supports off-line experimentations and planning, while DTs offer synchronous execution and modification. DTs help to understand 'what may happen'. Also, they present 'what is happening' and its management methodologies. In this paper, we present building aspects and an integration approach for a Digital Twin based Discrete-Event Simulation model. Our approach utilizes a data-driven agent-based simulation within a DT framework. It presents an integration layer that provides two essential features: reconfiguration and state initialization. It gives simulation models configurability and integrity that are required for operating within a DT. Our proposed approach is presented through a use case of a semiconductor manufacturing system. The proposed integration layer extends the usability of current Discrete-Event Simulation (DES) for a DT within a Cyber-Physical Production System. © 2021 IEEE.","Digital Twin; Discrete-event simulation; Industry 4.0","Industry 4.0; Integration; Semiconductor device manufacture; Data driven; Discrete-event simulation model; Discrete-event simulations; Integral part; Integration approach; Internet of things technologies; Management methodologies; Production system; Real- time; Time synchronization; Discrete event simulation",Conference Paper,Scopus
"A digital twin framework for the simulation and optimization of production systems",2021,3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121663225&doi=10.1016%2fj.procir.2021.11.128&partnerID=40&md5=5b8bdf82207f9766f283b1cc2f7d356a","IDEKO, Member of Basque Research and Technology Alliance, Arriaga 2, Gipuzkoa, Elgoibar, 20870, Spain; Electronics and Computer Science, Mondragon Unibertsitatea, Gipuzkoa, Mondragon, Spain","Industry 4.0 has raised the expectations on productivity, automation, and resource efficiency of manufacturing systems. This paper proposes a digital twin framework for the simulation and optimization of production lines and cells that can be used in the design and operation stages. The framework is supported by an architecture that connects manufacturing and machine tool data (digital shadow), the discrete event simulation model and the optimization engine, allowing for a variety of functionalities to plan and manage the production system. A use case is provided to demonstrate this framework, implemented in an automated line for the manufacturing of railway axles. © 2021 The Author(s).","digital twin; discrete-event simulation; monitoring; optimization; servitization","Discrete event simulation; Information management; Manufacture; Railroad transportation; Design and operations; Design stage; Discrete-event simulations; Optimisations; Production cells; Production line; Production system; Resource efficiencies; Servitization; Simulation and optimization; Machine tools",Conference Paper,Scopus
"Automated digital twins generation for manufacturing systems: A case study",2021,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120695087&doi=10.1016%2fj.ifacol.2021.08.087&partnerID=40&md5=22c5349801cd920d43246c2065b5047a","Department of Mechanical Engineering, Politecnico di Milano, Italy","The recent industrial scenario was defined by the emergence of digital twins and cyber physical systems as key elements for manufacturers leadership. Digital models can perform good in terms of production planning and control decisions if they are correctly representing their physical counterparts at anytime. Discrete event simulation can be considered as established digital models of manufacturing system, thanks to the proven capabilities of correctly estimating the system performances. Automated simulation model generation techniques can significantly reduce model development phases and allow for using simulation models for short term decisions in production. Application studies and test cases are scarce in the literature. In this paper, we present the application of a digital model generation method. The test case is done exploiting a lab-scale model of a manufacturing system composed by six stations. We investigate how the model generation works online, during the transient phase of a manufacturing system. Results confirm the real-time applicability of the approach provided that sufficient data points are available from the production event logs. © 2021 The Authors. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0)","Digital twins; Industry 4.0; Process mining; Simulation","Discrete event simulation; Embedded systems; Production control; Case-studies; Cybe-physical systems; Cyber-physical systems; Digital modeling; Industrial scenarios; Model generation; Process mining; Simulation; Simulation model; Test case; Industry 4.0",Conference Paper,Scopus
