papers_name,papers_abstract,papers_year,papers_keywords,papers_type,papers_country,papers_cluster_number,papers_keywords_score
A Digital Twin Demonstrator to enable flexible manufacturing with robotics: a process supervision case study,"Manufacturing companies are facing different challenges. On the one hand, production is moving from mass-production to mass-customization and personalization. Reconfigurable-, adaptive- and evolving-factories are necessary to achieve the required flexibility. On the other hand, technology must be integrated with human skills to assist the operators in supervising and maintaining manufacturing plants with growing complexity. In line with the Industry 4.0 paradigm, a Digital Twin Demonstrator is proposed to support the supervision activity of the operator in the context of flexible manufacturing with robotics. The supervision is achieved through a Human-Computer-Machine Interaction (HCMI) enabled with the Digital Twin technology. The suggested demonstrator is implemented and validated using a lab case study where it is demonstrated how the proposed HCMI interaction enables ‘close-to-real-time’ supervision of the manufacturing system in its self-adaptation to production and environmental changes. © 2021 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",2021,Digital twin Flexible manufacturing systems Human computer interaction Industrial robots Environmental change Flexible manufacturing Manufacturing companies Manufacturing plant Mass customization Personalizations Process supervision Self adaptation RoboticsDigital Twin flexible manufacturing Industry 4.0 process supervision robotics,academic,"Department of Mechanical Engineering, Universidad de Los Andes, Bogotá, Colombia; Department of Mechanical Engineering, Escuela Superior Politécnica de Chimborazo, Riobamba, Ecuador; Department of Industrial Engineering, Universidad de Los Andes, Bogotá, Colombia",18,0.20588235294117646
The development of standardized models of digital twin,"Digital twin is becoming a General Purpose Technology of the coming fourth industrial revolution. However, there is no consistent set of definition, concept system, reference architecture (model), application framework (model), and maturity model of digital twin yet. This paper identifies the relationship among these models, proposes a universal architectural and ontological concept system of digital twin, and a set of unified above models to facilitate the standardization of digital twin. © 2020 Elsevier B.V.. All rights reserved.",2020,Application frameworks Concept Systems General purpose technologies Industrial revolutions Maturity model Reference architecture Standardized models Digital twinapplication framework concept system Digital Twin maturity model reference architecture standardization,academic,"Pera Corporation Ltd., Beijing, 100025, China; Pera Corporation Ltd., Beijing, 100025, China",30,0.2962962962962963
Automated digital twins generation for manufacturing systems: A case study,"The recent industrial scenario was defined by the emergence of digital twins and cyber physical systems as key elements for manufacturers leadership. Digital models can perform good in terms of production planning and control decisions if they are correctly representing their physical counterparts at anytime. Discrete event simulation can be considered as established digital models of manufacturing system, thanks to the proven capabilities of correctly estimating the system performances. Automated simulation model generation techniques can significantly reduce model development phases and allow for using simulation models for short term decisions in production. Application studies and test cases are scarce in the literature. In this paper, we present the application of a digital model generation method. The test case is done exploiting a lab-scale model of a manufacturing system composed by six stations. We investigate how the model generation works online, during the transient phase of a manufacturing system. Results confirm the real-time applicability of the approach provided that sufficient data points are available from the production event logs. © 2021 The Authors. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0)",2021,Discrete event simulation Embedded systems Production control Case-studies Cybe-physical systems Cyber-physical systems Digital modeling Industrial scenarios Model generation Process mining Simulation Simulation model Test case Industry 4.0Digital twins Industry 4.0 Process mining Simulation,academic,"Department of Mechanical Engineering, Politecnico di Milano, Italy",33,0.45454545454545453
"Digital twin technology for modeling, simulation and control of a mechatronic system","Digital transformation involves the use of breaking technologies that increase the knowledge of a physical system. One of these technologies is the Digital Twin, which is a realistic virtual representation that reflects the current conditions of a physical system process that allows advanced and more detailed analysis towards improving system performance and smartness. This paper uses a novel framework for developing Digital Twin applications, which is applied to the velocity and position control problem. The framework involves the steps of target system definition, system documentation, multidomain simulation, Digital Twin assembly and behavioral matching and validation and deployment. Obtained results show how Digital Twin enables new capabilities that can be explored towards smart control engineering. Copyright © 2021 by ASME",2021,'current Breakings Condition Digital transformation Mechatronic systems Modeling simulation Modelling controls Physical systems System process Virtual representations Position control,academic,"Ingegneria dell'automazione industriale, Università degli Studi di Brescia, Brescia, Italy; Department of Mechanical Engineering, University of California, Merced, 95343, CA, United States; Ingegneria Industriale e dell'Informazione, Università degli Studi di Brescia, Brescia, Italy",33,0.21052631578947367
A simulator coupling architecture for the creation of digital twins,"Digital Twins are digital representations of real-world entities. Their behavior resembles the behavior of the real entity at all times. They are candidates for the evaluation of complex adaptive embedded systems, for example in the domains of autonomous driving, or industry 4.0 production systems. However, as most simulators are specialized and only simulate selected aspects of a system with highest accuracy, the creation of a Digital Twin requires the coupling of simulators and their simulation models. Related work indicates that this is still a labor-intensive and manual task. In this paper, we present an architecture framework that transfers approaches from Component-Based Software Engineering to simulator coupling. Simulators are encapsulated as simulation components with defined interfaces. The creation of a Digital Twin is supported by orchestrating simulation components. We present the formal definition of simulation components and our simulation framework, as well as the rules for coupling simulation components into Digital Twins. © Springer Nature Switzerland AG 2020.",2020,Adaptive systems Computer software Embedded systems Simulators Software architecture Adaptive embedded systems Architecture frameworks Component-based software engineering Coupling simulation Digital representations Real-world entities Simulation components Simulation framework Digital twinCBSE Components Digital Twins Simulator coupling,academic,"Fraunhofer Institute IESE, Fraunhofer-Platz 1, Kaiserslautern, 67663, Germany",33,0.2647058823529412
Simulation and digital twin based design of a production line: A case study,"This paper is aimed to optimize a machining cycle for electric motors brake disk support plates. Today it is possible to adopt modeling and simulation techniques that thank to the increasing power of technologies and the Industry 4.0 platform allow understanding the impacts of changes in the production and therefore verifying its effectiveness and limits. In this context, the Digital twin (DT) implements concepts that try to solve the problem of handling large amounts of data that is accessed concurrently and has numerous internal semantic dependencies. The purpose of this paper is to provide an application of DT through the adoption of simulation techniques. The sample takes inspiration from a real plant, which produces anchoring plates for electric motor brake discs The weakness point of the cycle is represented by problems arising from its discontinuity. To simulate and study solutions, AnyLogic software was used to create virtual simulation models. © 2018 Newswood Limited. All rights reserved.",2018,Brakes Electric motors Semantics Simulation platform Anylogic softwares Large amounts of data Machining cycles Modeling and simulation techniques Production line Semantic dependency Simulation technique Virtual simulation models Computer software,academic,"University of Genoa, Department of Mechanical Engineering, Via Opera Pia 15, Genoa, 16132, Italy",33,0.2413793103448276
A digital twin ecosystem for additive manufacturing using a real-time development platform,"Additive manufacturing is often used in rapid prototyping and manufacturing, allowing the creation of lighter, more complex designs that are difficult or too expensive to build using traditional manufacturing methods. This work considers the implementation of a novel digital twin ecosystem that can be used for testing, process monitoring, and remote management of an additive manufacturing–fused deposition modeling machine in a simulated virtual environment. The digital twin ecosystem is comprised of two approaches. One approach is data-driven by an open-source 3D printer web controller application that is used to capture its status and key parameters. The other approach is data-driven by externally mounted sensors to approximate the actual behavior of the 3D printer and achieve accurate synchronization between the physical and virtual 3D printers. We evaluate the sensor-data-driven approach against the web controller approach, which is considered to be the ground truth. We achieve near-real-time synchronization between the physical machine and its digital counterpart and have validated the digital twin in terms of position, temperature, and run duration. Our digital twin ecosystem is cost-efficient, reliable, replicable, and hence can be utilized to provide legacy equipment with digital twin capabilities, collect historical data, and generate analytics. © 2022, The Author(s), under exclusive licence to Springer-Verlag London Ltd., part of Springer Nature.",2022,Deposition Ecosystems Process monitoring Simulation platform Virtual reality Data driven Deposition modeling Development platform Fused deposition modeling Manufacturing IS Rapid-prototyping Real- time Simulation Time development Unity 3d 3D printersAdditive manufacturing Digital twin Fused deposition modeling Simulation Unity 3D,academic,"Industrial and Systems Engineering, Auburn University, 357-359 W Magnolia Ave, Auburn, 36832, AL, United States",57,0.23684210526315788
A Digital Twin Approach for the Prediction of the Geometry of Single Tracks Produced by Laser Metal Deposition,"Flexible manufacturing processes such as laser metal deposition exhibit high potential for a production solely defined by software to cope with the current challenges of production systems. The determination of suitable machine parameters for the production of novel materials and geometries however requires extensive experimental effort. Existing simulative approaches do not offer sufficient accuracy to predict the relevant machine parameters in a satisfactory way. This paper presents a new concept, in which we apply a digital twin to provide a step towards a fully software-defined and predictable laser metal deposition process. The presented concept includes relevant data of the machines as well as data-driven machine learning models and physics-based simulation models. This enables a more reliable prediction of geometries of single tracks which was validated on a laser metal deposition machine. © 2022 The Authors. Published by Elsevier B.V.",2022,Deposition Forecasting Metals 'current Asset administration shell Flexible manufacturing High potential Laser metal deposition Machine parameters Manufacturing process Production system Single-tracks Software defined manufacturing GeometryAsset Administration Shell Digital Twin Laser metal deposition Software defined manufacturing,academic,"Graduate School of Excellence Advanced Manufacturing Engineering (GSaME), University of Stuttgart, Nobelstraße 12, Stuttgart, 70569, Germany; Institut für Strahlwerkzeuge (IFSW), University of Stuttgart, Pfaffenwaldring 43, Stuttgart, 70569, Germany; Institute of Industrial Automation and Software Engineering (IAS), University of Stuttgart, Pfaffenwaldring 47, Stuttgart, 70550, Germany; TRUMPF Laser- und Systemtechnik GmbH, Johann-Maus-Straße 2, Ditzingen, 71254, Germany; J. Schmalz GmbH, Johannes-Schmalz-Straße. 1, Glatten, 72293, Germany",57,0.2
A digital twin framework for performance monitoring and anomaly detection in fused deposition modeling,"Digital twin (DT) and additive manufacturing (AM) technologies are key enablers for smart manufacturing systems. DTs of AM systems are proposed in recent literature to provide additional analysis and monitoring capabilities to the physical AM processes. This work proposes a DT framework for real-time performance monitoring and anomaly detection in fused deposition modeling (FDM) AM process. The proposed DT framework can accommodate AM process measurement data to model the AM process as a cyber-physical system with continuous and discrete event dynamics, and allow for the development of various applications. A new performance metric is proposed for performance monitoring and a formal specification based anomaly detection method is proposed for AM processes. Implementation of the proposed DT on an off-the-shelf FDM printer and experimental results of anomaly detection and process monitoring are presented at the end. © 2019 IEEE.",2019,Deposition Discrete event simulation Embedded systems Fused Deposition Modeling Layered manufacturing Process monitoring Anomaly detection methods Discrete event dynamics Monitoring capabilities Performance metrices Performance monitoring Process measurements Real time performance Anomaly detection,academic,"Department of Mechanical Engineering, University of Michigan, Ann Arbor, 48109, MI, United States",57,0.28125
"A Simulation-based Process Model for the Realization of a Matrix Manufacturing System Planning, Evaluation and Digital Twin in the Electronics Industry at Siemens AG Karlsruhe; [Simulationsgestütztes Vorgehensmodell zur Realisierung einer Matrixfertigung Planung, Bewertung und Digitaler Zwilling in der Elektronikindustrie bei der Siemens AG Karlsruhe]","Siemens AG in Karlsruhe is facing the current challenges of increasing product complexity with a higher number of variants, reduced batch sizes and shorter product life cycles. In order to restructure their manufacturing system towards a .,matrix production in flow"", a process model for replanning and restructuring was designed to serve as a guideline. Supported by the digital twin and simulation studies, an optimized module configuration towards a highly flexible manufacturing with driverless transport vehicles is shown. Challenges such as complex production control can be supported by the digital twin.  © 2022 Walter de Gruyter GmbH, Berlin/Boston.",2022,Life cycle Production control Silver Electronic industries Holistic production system matrix Matrix manufacturing system Production system Siemens Simulation Simulation-based process model System planning ManufactureDigital Twin Holistic Production System Matrix Matrix Manufacturing System Simulation,academic,"Siemens AG Digital Industries - Process Automation, Östliche Rheinbrückenstr. 50, Karlsruhe, 76187, Germany",65,0.30303030303030304
"A Simulation-based Process Model for the Realization of a Matrix Manufacturing System-Planning, Evaluation and Digital Twin in the Electronics Industry at Siemens AG Karlsruhe; [Simulationsgestütztes Vorgehensmodell zur Realisierung einer Matrixfertigung: Planung, Bewertung und Digitaler Zwilling in der Elektronikindustrie bei der Siemens AG Karlsruhe]","Siemens AG in Karlsruhe is facing the current challenges of increasing product complexity with a higher number of variants, reduced batch sizes and shorter product life cycles. In order to restructure their manufacturing system towards a „matrix production in flow“, a process model for replanning and restructuring was designed to serve as a guideline. Supported by the digital twin and simulation studies, an optimized module configuration towards a highly flexible manufacturing with driverless transport vehicles is shown. Challenges such as complex production control can be supported by the digital twin. © 2022 Walter de Gruyter GmbH, Berlin/Boston, Germany.",2022,Life cycle Production control Electronic industries Holistic production system matrix Matrix manufacturing system Production system Siemens Simulation Simulation-based process model System planning ManufactureDigital Twin Holistic Production System Matrix Matrix Manufacturing System Simulation,academic,"Siemens AG Digital Industries-Process Automation, Östliche Rheinbrückenstr 50, Karlsruhe, 76187, Germany",65,0.3125
Graphical design based on digital twin and interaction generation,"In the process of product design transformation, some problems arise, such as inefficient management, lack of accuracy in decision analysis of various operation and maintenance events, and the degree of intelligence to be improved, so this paper designs a graphical design based on digital twin and interaction generation. Digital twin is an important tool to achieve deep integration of graphic design, and the physical integration of complex product design and manufacturing information is the most important part of it, which focuses on shop floor operations and product O&M, but there is less research on the application of digital twin technology to complex product design and manufacturing integration. We analyze the problems of equipment monitoring and video monitoring, and systematically explain the feasibility, design ideas, technical routes and key technologies of applying digital twin technology to intelligent production process monitoring. © 2022",2022,Decision making Industrial research Integration Manufacture Process monitoring Analysis of various Complex products Deep integrations Design information Graphic design Graphical designs Interaction generation Manufacturing informations Operations and maintenance Product design and manufacturing Product designDigital twin Graphical design Interaction generation Product design and manufacturing,academic,"Shandong College of Arts, Shandong, Jinan, 250000, China",70,0.2558139534883721
Digital twin-based product design process and design effort prediction method; [基于数字孪生的产品设计过程和工作量预测方法],"To mitigate the complexity during product design caused by inconformity between reality and ideal design process, a digital twin-based product design process and the design effort prediction method was proposed. A product design digital twin system in five dimensions was constructed. The product design digital twin in virtual space was specifically defined, which included functional digital twin, designer digital twin and design activity digital twin. From a knowledge perspective, the prediction approach for product design effort and the propagation analysis approach for function changes were proposed, which was able to provide lean service for the management of complexity during product design. A case study of system design of a cube satellite-based radio aurora explorer mission showed that the proposed method could measure, predict and manage the complexity during product design effectively. © 2022, Editorial Department of CIMS. All right reserved.",2022,Forecasting Design activity Design designs Design effort Design effort prediction Design-process Effort prediction Information Modeling Prediction methods Product design process Virtual spaces Product designDesign effort prediction Digital twin Information modeling Product design,academic,"Henan Provincial Key Laboratory of Intelligent Manufacturing of Mechanical Equipment, School of Mechanical and Electrical Engineering, Zhengzhou University of Light Industry, Zhengzhou, 450002, China",70,0.21875
Digital twin-driven product design framework,"With the advent of new generation information technologies in industry and product design, the big data-driven product design era has arrived. However, the big data-driven product design mainly places emphasis on the analysis of physical data rather than the virtual models, in other words, the convergence between product physical and virtual space is usually absent. Digital twin, a new emerging and fast growing technology which connects the physical and virtual world, has attracted much attention worldwide recently. This paper presents a new method for product design based on the digital twin approach. The development of product design is briefly introduced first. The framework of digital twin-driven product design (DTPD) is then proposed and analysed. A case is presented to illustrate the application of the proposed DTPD method. © 2018, © 2018 Informa UK Limited, trading as Taylor & Francis Group.",2019,Big data Life cycle Virtual reality Data lifecycle Design theory digital twin framework Product design frameworks Virtual models Virtual spaces Virtual worlds Product designbig data data lifecycle design theory digital twin framework product design,academic,"School of Automation Science and Electrical Engineerig, Beihang University, Beijing, China; School of Mechanical and Manufacturing Engineering, University of New South Wales, Sydney, Australia; Department of Industrial and Systems Engineering, University of Southern California, Los Angeles, CA, United States; Department of Mechanical Engineering, National University of Singapore, Singapore, Singapore",70,0.20588235294117646
