papers_name,papers_abstract,papers_year,papers_keywords,papers_type,papers_country,papers_cluster_number,papers_keywords_score
Defining Production and Financial Data Streams Required for a Factory Digital Twin to Optimise the Deployment of Labour,With the emergence of capable and low cost sensing hardware simulations may be driven from real time production data. Such simulation could be used to predict future system performance. However for effective decision making knowledge of system level behaviour beyond production e.g. financial metrics would also be required. The generation of standard accounting data from simulation models has received little attention in the literature. Herein a modelling approach is demonstrated to generate production and accounting data streams from a Discrete Event Simulation for an idealised production business. The paper demonstrates an approach to assess the influence of production variables (labour arrangement) on system cash flow. © Springer Nature Singapore Pte Ltd 2018.,2018,Decision making Energy conservation Finance Intelligent computing Internet of things Manufacture Sustainable development Financial data Financial metrics Hardware simulation Production business Production demand Production variables Real-time production data Resource planning Discrete event simulationDiscrete Event Simulation Factory Digital Twin Financial metrics Labour resource planning Production demand,academic,"School of Mechanical and Aerospace Engineering, Queen’s University Belfast, Ashby Building, Belfast, BT9 5AH, United Kingdom; N.I. Technology Centre, Queen’s University Belfast, Belfast, BT9 5HN, United Kingdom",355,0.26666666666666666
Digital twin framework for reconfigurable manufacturing systems (RMSs): design and simulation,"Faced with the global crisis of COVID-19 and the strong increase in customer demands, competition is becoming more intense between companies, on the one hand, and supply chains on the other. This competition has led to the development of new strategies to manage demand and increase market share. Among these strategies are the growing interest in sustainable manufacturing and the need for customizable products that create an increasingly complex manufacturing environment. Sustainable manufacturing and the need for customizable products create an environment of increased competition and constant change. Indeed, companies are trying to establish more flexible and agile manufacturing systems through several systems of reconfiguration. Reconfiguration contributes to an extension of the manufacturing system’s life cycle by modifying its physical, organizational and IT characteristics according to the changing market conditions. Due to the rapid development of new information technology (such as IoT, Big Data analytics, cyber-physical systems, cloud computing and artificial intelligence), digital twins have become intensively used in smart manufacturing. This paper proposes a digital twin design and simulation model for reconfigurable manufacturing systems (RMSs). © 2022, The Author(s), under exclusive licence to Springer-Verlag London Ltd., part of Springer Nature.",2022,Agile manufacturing systems Commerce Computer aided manufacturing Data Analytics Embedded systems Life cycle Supply chains Sustainable development Customizable products Design and simulation Digital twin Generic modeling Manufacturing system simulations Modular framework Reconfigurable manufacturing system Sustainable manufacturing SysML CompetitionDigital twin (DT) Generic model Modular framework Reconfigurable manufacturing system (RMS) SysML,academic,"Laboratory Quartz, University of Paris 8, 140 Rue de la Nouvelle, Montreuil, 93100, France; University de Picardie Jules Verne, LTI-EA 3899, Amiens, 80025, France",371,0.3469387755102041
Application of a Digital Twin for Manufacturing Process Simulation,"Due to the growing market demand and increasing customization of products, the enterprises have to increasingly adapt to the prevailing market conditions. However this adaption should be conducted with the lowest production costs and the best possible utilization of resources. One of the ideas, to obtain that, may be an attempt to implement the so called digitization and a digital twin for the enterprise. The article presents the possibilities of enterprise digitization and problems that the enterprises have to deal with, in order to better organize and plan the production process in the modern, dynamically changing environment. © Published under licence by IOP Publishing Ltd.",2022,Changing environment Customisation Digitisation Growing markets Manufacturing process simulations Market condition Market demand Production cost Production process Utilization of resources Commerce,academic,"Mechanical Engineering Department, Silesian University of Technology, Konarskiego 18A, Gliwice, 44-100, Poland",371,0.2857142857142857
Operation mechanism and reconfiguration methods of modular production systems based on digital twin; [基于数字孪生的模块化生产系统运行机制及重构方法],"As an important way to realize flexible production, reconfiguration plays an important role in responding to the increasing personalized market demand. Aiming at the problem of characteristics, the architecture and operation mechanism of Digital Twin-Driven Modular Production System (DT-MPS) was studied. On this basis, a reconfiguration method for DT-MPS was proposed, and the research focused on modeling and reconfiguration mechanism. An example was given to verify the proposed method, which provided experiment for rapid reconfiguration of production system with modular intelligence application. © 2021, Editorial Department of CIMS. All right reserved.",2021,Mathematical models Production Flexible production Market demand Modular production system Operation mechanism Production system Reconfiguration mechanisms Digital twinDigital twin Modular production system Operation mechanism Reconfiguration method,academic,"School of Mechanical, Electronic and Control Engineering, Beijing Jiaotong University, Beijing, 100044, China; North Industries Group Pinance Company Ltd., Beijing, 100053, China",371,0.23076923076923078
Generic framework for developing process digital twin applicable to high value-added manufacturing,"Our team has developed a generic modular framework to create Process Digital Twin (PDT) that can be customized for any process. Elements of this framework are (i) configuration of manufacturing process inputs as seen by user, (ii) capturing variation of manufacturing inputs (iii) build accurate and fast multi-parametric numerical solution using advanced model order reduction (MOR) techniques, (iv) Extract features for quality (FFQ) using specialized algorithms and (v) predict probability of success from quality models and (vi) capability to receive post-production process and quality data and use machine learning algorithms to automatically update various models. Irrespective of the physical and geometrical complexity of individual process, our numerical techniques assure a real time (< 10 sec) multi-parametric solution. Primary output of process digital twin (PDT) is predicting probability of success of a process based on all manufacturing inputs both material and physical. This allows us to use PDT to maximize production success by adjusting controllable inputs apriori. We have successfully used the framework to build digital twins for complex composite manufacturing processes that produce fan blades for aircraft engines and implemented it into manufacturing process. We will present some examples to demonstrate the paradigm shift of reactive to adaptive manufacturing. © 2021 Soc. for the Advancement of Material and Process Engineering. All rights reserved.",2021,Aircraft engines Machine learning Manufacture Advanced modeling Developing process Generic frameworks Manufacturing process Model order reduction Modular framework Numerical solution Probability of success Process inputs Value-added manufacturing Learning algorithms,academic,"UES LLC, Schenectady, 12309, NY, United States; Miura Simulation SAS, 1 rue de la Noë, Nantes, 44321, France; Nagarro Inc., Gurugram, India",371,0.3793103448275862
Reconfigurable manufacturing systems characteristics in digital twin context,"The concept of a reconfigurable manufacturing system (RMS) has been introduced to enable production systems to continuously evolve and respond rapidly to unpredicted and fluctuating market environments. To achieve this goal, RMS needs to exhibit six core characteristics: modularity, integrability, scalability, diagnosability, convertibility and customisation. These characteristics are required to ensure manufacturing systems' resilience while maintaining productivity and quality. Assessing these characteristics at both the design and operating phase can be aided by the digital twinning (DT) of physical systems. To this end, the DT-RMS concept is introduced in this paper as a dynamic cyber-replica of the physical production environment, enabling a high-level of transparency about data, performance, and relevant reconfiguration decisions. As a result, DT-RMS responds to the need to integrate requirements and performance targets for the RMS characteristics at design and operating-time.  Copyright © 2020 The Authors.",2020,Computer aided manufacturing Digital twin Diagnosability Market environment Operating phase Performance targets Physical systems Production environments Production system Reconfigurable manufacturing system ManufactureDigital Twins Reconfigurable Manufacturing Systems System Architectures,academic,"Cranfield University, School of Aerospace, Transport and Manufacturing, Cranfield, Bedfordshire, MK43 0AL, United Kingdom",371,0.21428571428571427
Use of simulation in the industry 4.0 context: Creation of a Digital Twin to optimise decision making on non-automated process,"The advent of new technologies brings a significant impact on systems management. The Industry 4.0 looks for increasingly automated, integrated, and digitised processes. We highlight the use of simulation as a Digital Twin, a virtual and intelligent copy capable of mirroring real processes and optimise decision making. This paper analyses the applicability of the Discrete Event Simulation as a Digital Twin in a non-automated process, a challenging scenario on the implementation of Industry 4.0 solutions. Amethod for conducting simulation projects of this nature was proposed, considering its integration with the process data, as well as its constant updating due to changes in the real environment. To verify its applicability, the method was used in a real study object. The proposed approach proved possible from the present research. We also present some discussions related to the use of simulation as Digital Twins, highlighting the main characteristics of such an application. © Operational Research Society 2020.",2022,Automation Decision making Discrete event simulation Industry 4.0 Automated process Paper analysis Process data Real environments Simulation projects Systems management Digital twinDigital Twin Discrete Event Simulation Industry 4.0 optimised decision making,academic,"Production Engineering and Management Institute, Federal University of Itajubá, Itajubá, Brazil",378,0.2903225806451613
A digital twin emulator of a modular production system using a data-driven hybrid modeling and simulation approach,"Virtual commissioning is a key technology in Industry 4.0 that can address issues faced by engineers during early design phases. The process of virtual commissioning involves the creation of a Digital Twin—a dynamic, virtual representation of a corresponding physical system. The digital twin model can be used for testing and verifying the control system in a simulated virtual environment to achieve rapid set-up and optimization prior to physical commissioning. Additionally, the modular production control systems, can be integrated and tested during or prior to the construction of the physical system. This paper describes the implementation of a digital twin emulator of an automated mechatronic modular production system that is linked with the running programmable logic controllers and allow for exchanging near real-time information with the physical system. The development and deployment of the digital twin emulator involves a novel hybrid simulation- and data-driven modeling approach that combines Discrete Event Simulation and Agent Based Modeling paradigms. The Digital Twin Emulator can support design decisions, test what-if system configurations, verify and validate the actual behavior of the complete system off-line, test realistic reactions, and provide statistics on the system’s performance. © 2021, The Author(s), under exclusive licence to Springer Science+Business Media, LLC part of Springer Nature.",2021,Autonomous agents Computational methods Control systems Discrete event simulation Production control Programmable logic controllers Virtual addresses Agent-based model Early design phasis Hybrid simulation Modular production Modular production system System configurations Virtual commissioning Virtual representations Digital twinAgent based modeling Automation Digital twin Discrete event simulation Emulator Hybrid simulation Modular production,academic,"Department of Industrial and Systems Engineering, Auburn University, 3312 Shelby Center, Auburn, 36849, AL, United States",378,0.2857142857142857
Modelling cycle for simulation digital twins,Digital twins (DT) form part of the Industry 4.0 revolution within manufacturing and related industries. A DT is a digital model (DM) of a real system that features continuous and automated synchronisation and feedback of optimisations between the real and digital domains. A core technology for predictive capabilities from DT is discrete event simulation (DES). The modelling cycle for developing and analysing DES models is significantly different compared to DM. A DT specific DES modelling cycle is introduced that is evolved from that of DM. The availability of specialised software tools for DT tailored to these differences would benefit industry. © 2021 The Authors,2021,Computer aided software engineering Discrete event simulation Core technology Digital domain Digital model Optimisations Predictive capabilities Real systems Digital twinDigital twin Discrete event simulation Industry 4.0 Modelling cycle,academic,"School of Science and Technology, Örebro University, Örebro, Sweden; Department of Mechanical, Materials and Manufacturing Engineering, University Park, University of Nottingham, Nottingham, United Kingdom",378,0.2857142857142857
Mixed discrete-continuous simulation for digital Twins,"The advent of Digital Twins has precipitated the need for an open and flexible simulation framework with unique design considerations. A key requirement of such a framework is the ability to simulate systems containing a mix of discrete and continuous processes that may interact with each other. In this paper, we propose a framework for mixed discrete-continuous simulations particularly targeted for Digital Twin applications. The framework is based on SimPy, a popular discrete-event simulation library in Python. We first present a systematic approach by which continuous process simulations can be integrated within the event-stepped engine of SimPy. We illustrate the approach using an example. We then discuss the features of the proposed framework and the roadmap for its implementation. Copyright © 2021 by SCITEPRESS – Science and Technology Publications, Lda. All rights reserved.",2021,Computer software Discrete event simulation Continuous process Design considerations Discrete-continuous simulation Flexible simulation Roadmap Digital twinDigital Twins Mixed Discrete-Continuous Simulation Python SimPy,academic,"Indian Institute of Technology Goa, India; Department of Computational and Data Sciences, Indian Institute of Science, Bangalore, India",378,0.3181818181818182
How to model and implement connections between physical and virtual models for digital twin application,"Digital twin (DT) is a virtual mirror (representation) of a physical world or a system along its lifecycle. As for a complex discrete manufacturing system (DMS), it is a digital model for emulating or reproducing the functions or actions of a real manufacturing system by giving the system simulation information or directly driven by a real system with proper connections between the DT model and the real-world system. It is a key building block for smart factory and manufacturing under the Industry 4.0 paradigm. The key research question is how to effectively create a DT model during the design stage of a complex manufacturing system and to make it usable throughout the system's lifecycle such as the production stage. Given that there are some existing discussions on DT framework development, this paper focuses on the modeling methods for rapidly creating a virtual model and the connection implementation mechanism between a physical world production system at a workshop level and its mirrored virtual model. To reach above goals, in this paper, the discrete event system (DES) modeling theory is applied to the three-dimension DT model. First, for formally representing a manufacturing system and creating its virtual model, seven basic elements: controller, executor, processor, buffer, flowing entity, virtual service node and logistics path of a DMS have been identified and the concept of the logistics path network and the service cell is introduced to uniformly describe a manufacturing system. Second, for implementing interconnection and interaction, a new interconnection and data interaction mechanism between the physical system and its virtual model for through-life applications has been designed. With them, each service cell consists of seven elements and encapsulates input/output information and control logic. All the discrete cells are constructed and mapped onto different production-process-oriented digital manufacturing modules by integrating logical, geometric and data models. As a result, the virtual-physical connection is realized to form a DT model. The proposed virtual modeling method and the associated connection mechanism have been applied to a real-world workshop DT to demonstrate its practicality and usefulness. © 2020 The Society of Manufacturing Engineers",2021,Complex networks Digital twin Industrial research Life cycle Manufacture Complex manufacturing systems Digital manufacturing Discrete manufacturing systems Framework development Implementation mechanisms Physical connections Research questions System simulations Discrete event simulationCyber-physical system Digital twin Discrete event system modeling theory Virtual-physical connection,academic,"Institute of Advanced Design and Manufacturing, Southwest Jiaotong University, Chengdu, 610031, China; School of Design, Northumbria University, Newcastle upon Tyne, NE1 8ST, United Kingdom",378,0.3
Simulation-Based Digital Twin of a Complex Shop-Floor Logistics System,"Digital analytics tools have been at the forefront of innovation in manufacturing industry in recent years. To keep pace with the demands of industrial digitization, companies seek opportunities to streamline processes and enhance overall efficacy, opting to replace conventional engineering tools with data-driven models. In a high-tech factory, detailed data is collected about the products, processes, and assets in near-real time, providing a basis to build trustworthy analytical models. In this paper, a novel discrete-event simulation (DES) model is proposed for the detailed representation of a complex shop-floor logistics system, employing automated robotic vehicles (AGV). The simulation model is applied to test new AGV management policies, involving both vehicle capacity planning and dispatching decisions. In order to illustrate the usefulness of the model and the effectiveness of the selected policy, numerical results of a case-study are presented, in which the selected policy was realized in a real manufacturing environment. © 2020 IEEE.",2020,Automatic guided vehicles Discrete event simulation Floors Manufacture Data-driven model Engineering tools Management policy Manufacturing environments Manufacturing industries Numerical results Simulation model Streamline process Digital twin,academic,"Institute for Computer Science and Control (SZTAKI), Centre of Excellence in Production Informatics and Control (EPIC), Budapest, 1111, Hungary; Western Digital Corporation, Digital Analytics Office, San Jose, 95119, CA, United States; Epic InnoLabs Ltd., Budapest, 1111, Hungary",378,0.4230769230769231
The role of dynamics in digital twins and its problem-tailored representation,"In Smart Manufacturing, the Internet of Things technology brings about new possibilities as for the interaction of Cyber-Physical Systems with their virtual models- in Industry 4.0 jargon, Digital Twins. Besides traditional roles in engineering and control design, Digital Twins cab play innovative ones by evolving together with their cyber-physical counterpart: predictive maintenance, fault detection, or fast training of data-based decision aid tools. In this paper we focus on the relevance of dynamic models in this scenario, particularly as for the co-existence of continuous-time and discrete-event models wherever control and planning are involved. We argue that in such cases, models with analysis-specific levels of detail have to co-exist, interact and maintain mutual consistency. We propose a modelling approach to address the problem, and present a supporting example based on an object-oriented modelling language.  Copyright © 2020 The Authors.",2020,Continuous time systems Cyber Physical System Decision support systems Discrete event simulation Embedded systems Fault detection Modeling languages Continuous-time Control design Cyber physicals Discrete event models Internet of things technologies Levels of detail Object oriented modelling Smart manufacturing Digital twinAdvanced manufacturing Cyber-physical systems Dynamic models Object-oriented modelling and simulation Production control and management,academic,"DEIB, Politecnico di Milano, Italy",378,0.2641509433962264
Analyzing the Characteristics of Digital Twin and Discrete Event Simulation in Cyber Physical Systems,"Digital Twins (DTs) are described as the next wave in simulation, a critical component of Cyber Physical Systems (CPS), and a key enabler for da-ta-driven decision-making. Yet, the literature presents limited understanding about the characteristics of DTs and their relation to current simulation capabilities. Addressing this problem, the purpose of this study is to analyze the characteristics of DTs and simulation models for CPS in production logistics. This study reviews extant literature on DTs and presents findings from a single case study at a South Korean manufacturing company developing a DT including Discrete Event Simulation (DES). The findings of this study highlight the importance of DES in DTs focusing on increased production logistics performance. The results of this study indicate that the use of DES may promote the development of DTs, but be insufficient in the characterization of DTs for CPS in production logistics. © 2020, IFIP International Federation for Information Processing.",2020,Cyber Physical System Decision making Discrete event simulation Embedded systems Industrial management Manufacture Critical component Current simulation Cyber-physical systems (CPS) Manufacturing companies Production logistics Digital twinDigital Twins Discrete Event Simulation Production logistics,academic,"KTH Royal Institute of Technology, Södertälje, 15136, Sweden; Sungkyunkwan University, Suwon, 16419, South Korea",378,0.34375
