Name,Type,Material Type,Link,Keyword,Country,Year,Abstract,Responsible,Status,Created by,Created time
Altair,Industrial,Website,https://altair.com/one-total-twin/?utm_source=google-ads&utm_medium=cpc&utm_campaign=IMC-Digital-Twin-Brand&gclid=CjwKCAjwwL6aBhBlEiwADycBIJL7R463YqVXXwMWJaNcbb-87j6dckBr8mB81LW-GjfzVvZC_YiOmRoCeCoQAvD_BwE,"Digital twin, IT solutions, PaaS, Product life cycle",United States,,,,Not started,Alex,"October 19, 2022 3:55 PM"
MetaTwin,Industrial,Website,https://www.metatwin.net/digitaler-zwilling,"Digital twin, Manufacturing, Prediction & Forecast",Germany,,,,Not started,Alex,"October 19, 2022 4:17 PM"
Digital twin companies (By Dashdevs),Business,Cumulative report,https://dashdevs.com/blog/product-owner-talks-20-digital-twins-service-companies/,Digital twin,United States,,,,Not started,Alex,"October 19, 2022 4:37 PM"
General Electric,Industrial,Website,https://www.ge.com/digital/applications/digital-twin,"Digital twin, Machine learning, monitoring",United States,,,,Not started,Alex,"October 19, 2022 5:02 PM"
Digital twin report (By Siemens),Business,Report,https://blogs.sw.siemens.com/xcelerator/2022/05/09/digital-twin-study/,Digital twin,Germany,,,,Not started,Alex,"October 19, 2022 5:40 PM"
Siemens,Industrial,Website,https://new.siemens.com/global/en/company/stories/industry/the-digital-twin.html,"Digital twin, Product life cycle",Germany,,,,Not started,Alex,"October 19, 2022 5:40 PM"
IBM,Industrial,Website,https://www.ibm.com/topics/what-is-a-digital-twin,Digital twin,United States,,,,Not started,Alex,"October 19, 2022 5:57 PM"
Oracle,Industrial,Website,https://docs.oracle.com/en/cloud/paas/iot-cloud/iotgs/oracle-iot-digital-twin-implementation.html,"Digital twin, Prediction & Forecast, monitoring",United States,,,,Not started,Alex,"October 19, 2022 6:14 PM"
Foresight Sustainability Suite (By QiO),Industrial,Website,https://qio.io/,"Digital twin, Prediction & Forecast, Sustainability, monitoring",UK,,,,Not started,Alex,"October 19, 2022 6:17 PM"
Sight Machine,Industrial,Website,https://sightmachine.com/what-is-digital-twin/,"Digital twin, Machine learning, Manufacturing",United States,,,,Not started,Alex,"October 19, 2022 6:26 PM"
Eclipse ditto (By BOSCH),Industrial,Website,https://www.eclipse.org/ditto/,"Digital twin, PaaS",Germany,,,,Not started,Alex,"October 19, 2022 6:31 PM"
DigitBrain,Industrial,Website,https://digitbrain.eu/,"Digital twin, Manufacturing",EU,,,,Not started,Alex,"October 19, 2022 6:36 PM"
List of virtual twin developing software,Business,Website,https://www.g2.com/categories/digital-twin,"Digital twin, Prediction & Forecast, monitoring",Global,,,,Not started,Alex,"October 19, 2022 6:46 PM"
Braincube,Industrial,Website,https://braincube.com/solutions/digital-twin/,"Digital twin, Manufacturing",France,,,,Not started,Alex,"October 19, 2022 7:00 PM"
IoTwins,Industrial,Website,https://www.iotwins.eu/,Digital twin,EU,,,,Not started,Alex,"October 19, 2022 7:04 PM"
Digital Twin Market,Business,Website,https://tinyurl.com/mpxw42jx,"Applications, Automobile, Digital twin, Manufacturing",Global,,,,Not started,Alex,"October 19, 2022 7:09 PM"
Untangling the requirements of Digital twin,Academic,Report,https://www.amrc.co.uk/files/document/406/1605271035_1604658922_AMRC_Digital_Twin_AW.pdf,Digital twin,UK,,,,Not started,Alex,"October 19, 2022 7:15 PM"
Industry 4.0 and the digital twin,Business,Report,https://www2.deloitte.com/content/dam/Deloitte/kr/Documents/insights/deloitte-newsletter/2017/26_201706/kr_insights_deloitte-newsletter-26_report_02_en.pdf,Digital twin,Italy,,,,Not started,Alex,"October 19, 2022 7:22 PM"
Digital Twin Market Size (By Grand view Research),Business,Website,https://www.grandviewresearch.com/industry-analysis/digital-twin-market,Digital twin,Global,,,,Not started,Alex,"October 19, 2022 7:26 PM"
Digital Twin Market Size (By fortune business insights),Business,Website,https://www.fortunebusinessinsights.com/digital-twin-market-106246,Digital twin,Global,,,,Not started,Alex,"October 19, 2022 7:31 PM"
WareBee,Industrial,,,,,,,,Not started,Pedro Luis Bacelar dos Santos,"October 20, 2022 3:16 PM"
WareBee,Industrial,Website,https://warebee.com,"Digital twin, Warehouse",UK,,,,Not started,Pedro Luis Bacelar dos Santos,"October 20, 2022 3:18 PM"
Twinu,Industrial,Website,https://www.twinu.com,"Digital twin, NFT",Germany,,,,Not started,Pedro Luis Bacelar dos Santos,"October 20, 2022 3:20 PM"
Application of digital twins in condition-based maintenance,Academic,Technical paper,https://rpsonline.com.sg/proceedings/9789811820168/pdf/365.pdf,"Applications, Diagnosis, Digital twin, Maintenance","China, Norway",,,,Not started,Alex,"October 20, 2022 3:35 PM"
ReLOG3P,Industrial,Website,https://relog3p.com,"Digital twin, Logistics, Machine learning",Italy,,,,Not started,Pedro Luis Bacelar dos Santos,"October 20, 2022 3:39 PM"
SEKAI Digital Twins Ltd,Industrial,Website,https://www.sekai.io/#continuious,"Digital factories, Digital twin, Manufacturing, monitoring",Malta,,,,Not started,Pedro Luis Bacelar dos Santos,"October 20, 2022 3:40 PM"
TonePedia,Industrial,Website,https://www.tonepedia.com,"Digital twin, ecomerce",Germany,,,,Not started,Pedro Luis Bacelar dos Santos,"October 20, 2022 3:40 PM"
Digital Twin Application in Healthcare Facilities Management,Academic,Technical paper,https://ascelibrary.org/doi/10.1061/9780784483893.046,"Applications, Digital twin, Healthcare, Maintenance",United States,,,,Not started,Alex,"October 20, 2022 3:47 PM"
Orbit GT,Industrial,Website,https://orbitgt.com,"Digital twin, Smart Cities",Belgium,,,,Not started,Pedro Luis Bacelar dos Santos,"October 20, 2022 3:48 PM"
AppsBow,Industrial,Website,https://www.eu-startups.com/directory/appsbow/,"Digital twin, virtual reality",Poland,,,,Not started,Pedro Luis Bacelar dos Santos,"October 20, 2022 3:57 PM"
Digital-Twin for Production Monitoring and Optimisation: Two Case Study Application Examples,Academic,Technical paper,https://www.scopus.com/record/display.uri?eid=2-s2.0-85127637728&origin=resultslist&sort=plf-t&src=s&st1=digital+twin&st2=application&nlo=&nlr=&nls=&sid=b53ce3a56a56cd41b071f8a8d751ebc5&sot=b&sdt=b&sl=63&s=%28TITLE%28digital+twin%29+AND+TITLE%28application%29%29+AND+PUBYEAR+%3e+2020&relpos=6&citeCnt=0&searchTerm=,"Applications, Digital twin, Optimization, Prediction & Forecast, Production",United States,,,,Not started,Alex,"October 20, 2022 3:58 PM"
Infinite Foundry,Industrial,Website,https://www.infinitefoundry.com,"3D Simulations, Digital twin",Portugal,,,,Not started,Pedro Luis Bacelar dos Santos,"October 20, 2022 4:41 PM"
TWAICE,Industrial,Website,https://www.twaice.com,"Baterry, Digital twin",Germany,,,,Not started,Pedro Luis Bacelar dos Santos,"October 20, 2022 4:41 PM"
Digital Twins-based Application Development for Digital Manufacturing,Academic,Technical paper,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9707159,"Applications, Digital twin, Manufacturing, Production","Australia, Belgium",,,,Not started,Alex,"October 20, 2022 4:44 PM"
Digital Twin Studios,Industrial,Website,https://dtsxr.com,"3D Simulations, Digital twin",United States,,,,Not started,Pedro Luis Bacelar dos Santos,"October 20, 2022 4:44 PM"
Maplewell,Industrial,Website,https://www.maplewelleng.com,"Digital twin, Energy",United States,,,,Not started,Pedro Luis Bacelar dos Santos,"October 20, 2022 4:46 PM"
Artemis Technologies,Industrial,Website,https://www.artemistechnologies.co.uk,"Digital twin, Manufacturing",Ireland,,,,Not started,Pedro Luis Bacelar dos Santos,"October 20, 2022 4:47 PM"
https://www.ventureradar.com/organisation/Kavida%20Technologies/c0842a5a-706f-4fa2-9bb9-8143200d32f0,Industrial,Website,https://www.kavida.ai,"Digital twin, Supply Chain",United States,,,,Not started,Pedro Luis Bacelar dos Santos,"October 20, 2022 4:49 PM"
A review of SQL vs NOSQL database for nuclear reactor digital twin applications: with example Mongodb based NOSQL database for digital twin model of a pressurized-water-reactor steam-generator,Academic,Technical paper,https://asmedigitalcollection.asme.org/IMECE/proceedings-abstract/IMECE2021/85697/V013T14A003/1133262,"Database, Digital twin, Optimization, monitoring",United States,,,,Not started,Alex,"October 20, 2022 4:53 PM"
https://www.ventureradar.com/organisation/Infera/9bd1d92c-193f-4295-8ce4-3056cee5596a,Industrial,Website,https://infera.ai,"Digital twin, Prediction & Forecast",Canada,,,,Not started,Pedro Luis Bacelar dos Santos,"October 20, 2022 4:53 PM"
Application of Digital Twin to Monitor and Optimize Utility Process,Academic,Technical paper,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9649804,"Applications, Digital twin, Optimization, monitoring","South Korea, UK",,,,Not started,Alex,"October 20, 2022 4:56 PM"
https://www.ventureradar.com/organisation/CONTILIO%20LIMITED/f4d4bc11-5feb-4465-aa95-682f50bc9533,Industrial,Website,https://www.contilio.com,"Building, Digital twin",UK,,,,Not started,Pedro Luis Bacelar dos Santos,"October 20, 2022 4:56 PM"
A Review: Machine Tools Digital Twin Modeling and Application,Academic,Technical paper,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9594151,"Applications, Digital twin, Manufacturing",China,,,,Not started,Alex,"October 20, 2022 5:01 PM"
Building Discrete-Event Simulation for Digital Twin Applications in Production Systems,Academic,Technical paper,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9613425,"Applications, Digital twin, Discrete event simulation, Production",Canada,,,,Not started,Alex,"October 20, 2022 5:03 PM"
Automated Model Transformation in modeling  Twins of Industrial Internet-of-Things Applications utilizing AutomationML,Academic,Technical paper,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9613172,"Applications, Architecture, Digital twin, Manufacturing, Modeling",Germany,,,,Not started,Alex,"October 20, 2022 5:06 PM"
Life Cycle of a Digital Resource Twin: Meta-Modeling and Application Example,Academic,Technical paper,https://www.sciencedirect.com/science/article/pii/S2212827121011756?pes=vor,"Digital twin, Modeling, Product life cycle",Germany,,,,Not started,Alex,"October 20, 2022 5:28 PM"
"Digital Twin Market by Enterprise, Application",Business,Website,https://www.marketsandmarkets.com/Market-Reports/digital-twin-market-225269522.html,"Applications, Digital twin",Global,,,,Not started,Pedro Luis Bacelar dos Santos,"October 20, 2022 5:35 PM"
"Real-time combination of material flow simulation, digital twins of manufacturing cells, an AGV and a mixed-reality application",Academic,Technical paper,https://www.sciencedirect.com/science/article/pii/S2212827121011690?pes=vor,"Applications, Digital twin, Discrete event simulation, Manufacturing",Germany,,,,Not started,Alex,"October 20, 2022 5:38 PM"
GE Analysis,Business,Website,https://www.ge.com/digital/blog/what-digital-twin,,,,,,Not started,Pedro Luis Bacelar dos Santos,"October 20, 2022 5:40 PM"
Pattern-based digital twin for optimizing manufacturing systems: A real industrial-case application,Academic,Technical paper,https://www.sciencedirect.com/science/article/pii/S2405896321009265?pes=vor,"Applications, Digital twin, Maintenance, Prediction & Forecast","France, Italy",,,,Not started,Alex,"October 20, 2022 5:42 PM"
,,,,,,,,,Not started,Alex,"October 20, 2022 5:44 PM"
IBM DT,Industrial,Website,https://www.ibm.com/topics/what-is-a-digital-twin,"Digital twin, Explanation",Global,,,,Not started,Pedro Luis Bacelar dos Santos,"October 20, 2022 5:51 PM"
PTC Digital Twin,Industrial,Website,https://www.ptc.com/-/media/Files/PDFs/Manufacturing/State-of-Digital-Twin-2022.pdf,"Digital twin, Explanation",Global,,,,Not started,Pedro Luis Bacelar dos Santos,"October 20, 2022 5:51 PM"
Azure Digital Twin,Industrial,Website,https://azure.microsoft.com/en-gb/products/digital-twins/#overview,"Digital twin, IoT, Platform",Global,,,,Not started,Pedro Luis Bacelar dos Santos,"October 20, 2022 5:59 PM"
Ansys Digital Twin,Industrial,Website,https://www.ansys.com/products/digital-twin,"3D Simulations, Digital twin",Global,,,,Not started,Pedro Luis Bacelar dos Santos,"October 20, 2022 6:00 PM"
SWIM EDX,Industrial,Website,https://blog.swim.ai/introducing-digital-twins-that-learn-swim-edx,"Digital twin, Platform, Prediction & Forecast",Global,,,,Not started,Pedro Luis Bacelar dos Santos,"October 20, 2022 6:02 PM"
Pedro 14:19 25/10,Academic,Technical paper,,,,,,,Not started,Pedro Luis Bacelar dos Santos,"October 25, 2022 2:19 PM"
,,,,,,,,,Not started,Pedro Luis Bacelar dos Santos,"October 25, 2022 2:21 PM"
Real-Time Data-Driven Digital Twin Workshop Web Interactive Application,Academic,Conference Paper,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127043897&doi=10.1007%2f978-981-19-0572-8_13&partnerID=40&md5=63438300bf86ac5a4f9d4010095d6814,"Accident prevention, Data display, Data driven, Data interactions, Development technology, Digital twin, Process control, Process monitoring, Production line, Production process, Real-time alarm, Real-time data, Web development, Web interactive",China,2022,"With the increasing development of industrial intelligence, the application of digital twin workshops has become popular, but there are still humanization issues such as convenience, safety, and visualization. Therefore, based on the digital twin system of the actual workshop production line, using Web development technology to realize real-time alarm, process monitoring, data display and interaction with the digital twin system in response to problems that be encountered in the actual production process, such as failures, monitoring, and data analysis in this article. The real-time production situation of the workshop is functionally presented on the digital twin page, which can observe the on-site production line more clearly, effectively improving the overall intuition, failure and safety. At the same time, the realization of the interactive function with the digital twin system also enhances the closeness of the connection with reality. © 2022, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.",,Not started,Alex,"October 25, 2022 6:46 PM"
Digital Twin Testbed and Practical Applications in Production Logistics with Real-Time Location Data,Academic,Article,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108521095&doi=10.24867%2fIJIEM-2021-2-282&partnerID=40&md5=7a101271f83923a31e1567cf29934922,"Automated guided vehicle, Digital twin, Production logistics, Real-time location, Simulation","Germany, Sweden",2021,"Nowadays, digital twins exist everywhere in various fields. However, an analysis of existing applications in manufacturing and logistics revealed that many entirely apply the concept. To identify when a complete implementation of the concept is beneficial, we analyse the need and the implications within production logistics. This study also presents an architecture supporting integrating a digital twin into production logistics and a corresponding application scenario. Based on this, we have derived practical applications. Each application is applied to different situations, and actual benefits can overcome the limitations of the previous studies. © 2021. All Rights Reserved.",,Not started,Alex,"October 25, 2022 6:46 PM"
Composition and application of power system digital twins based on ontological modeling,Academic,Conference Paper,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079066546&doi=10.1109%2fINDIN41052.2019.8972267&partnerID=40&md5=094faae062bfab9239f40b8b7fd8064b,"Digital storage, Digital twin, Distributed energy resources, Electric energy storage, Electric power systems, Electronic documentation, Generative design, Hybrid power supply systems, Industrial informatics, Internet of Energy, Low voltage distribution network, Modeling, Modeling languages, Models, Network architecture, Ontology, Renewable energy resources, Renewable energy source, Small-scale generations, Software prototyping, Voltage distribution measurement",Russian Federation,2019,"The approach to create power system digital twins is presented by the example of energy supply of a geographically localized RD facility. In this paper, the six-layer digital twin architecture is proposed and its prototype software implementation is described. The architecture consists of an ontological model, a digital single line diagram, electronic documentation, master data, load measurement data, and mathematical models and simulations. The paper describes problems and principles of ontological modeling of the prosumer infrastructure, including customer load, low-voltage distribution network sections, small-scale generation equipment, and electric energy storage devices. The optimal configuration of the hybrid power supply system with renewable energy sources was computed using the digital twin that was composed according to the presented approach. For machine-readable representation of the digital twin, the ontological modeling language OWL is used. © 2019 IEEE.",,Not started,Alex,"October 25, 2022 6:46 PM"
Value-Driven Robotic Digital Twins in Cyber-Physical Applications,Academic,Article,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101785830&doi=10.1109%2fTII.2020.3011062&partnerID=40&md5=5d203172237ad7a555af6c97fbe9fa7c,"Competitive edges, Cost effectiveness, Cyber Physical System, Cyber physicals, Cyber-physical systems, Digital twin, Functional capabilities, Industrial manipulators, Intelligent robots, Key technologies, Manipulators, Physical robots, Robot applications, Robot manipulator, Robot performance, Virtual test beds, digital twins (DTs), robotics",Germany,2021,"Although the skills of robot manipulators are becoming technically more complex, the unprecedented cost-effective access to recently unveiled intelligent robots has the potential to unleash as yet unimagined automation capabilities. A key technology behind this opportunity for companies to gain a competitive edge through an informed and intelligent robotized automation is the robotic digital twin (RDT). As such, the RDT will be instrumental in mirroring targeted properties of a physical robot to obtain a digital sibling flexibly harnessed in virtual testbeds to understand, predict, and shape the robot performance. However, these objectives remain challenging to well-established simulators. This is because the architectural and functional capabilities they support are not sufficiently in-line with ever-growing and varying demands for agile and cost-efficient manipulations. As a consequence, robot stakeholders can hardly use RDTs to unlock opportunities and meet needs from prospective markets. This article contributes to addressing this gap. We introduce a novel concept for the development of a RDT that helps create and add value to current and future robotized cyber-physical applications. Hereinafter, referred to as the value-driven RDT (vdRDT), it systematically captures the robot dynamics and purposefully farms data, about which its services reason, to facilitate insight and deliver capabilities as well as benefits to stakeholders. Experiment results show that vdRDTs enlarge the scope of, adapt to, and revitalize robotized applications carried out in different fields. © 2005-2012 IEEE.",,Not started,Alex,"October 25, 2022 6:46 PM"
Digital twin applications in aviation industry: A review,Academic,Review,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135421849&doi=10.1007%2fs00170-022-09717-9&partnerID=40&md5=f4c1069d9862bc6be075a982716a41b7,"Aviation industry, Data fusion, Digital transformation, Digital twin, Embedded systems, Government authorities, Industrial research, Life cycle, Life cycle management, Lifecycle management, Low maintenance, Maintenance efficiency, Operations cost, Production operations, Reliable systems, Research laboratories, Secure system",China,2022,"As a highly secure and reliable system, aviation faces challenges including digital transformation, high production operation costs, low maintenance efficiency, and intensive technology. One of the most beneficial technologies is the digital twin (DT), which can solve the above issues. This paper investigates aviation industry DT from government authorities, industry, and academia. Firstly, it surveys the development of the definition of DT and compares its concepts with the Internet of Things, cyber-physical systems, and digital thread etc. Next, it shows the research timeline of aviation DT in the past 10 years by authorities such as Air Force Research Laboratory and National Aeronautics and Space Administration. Then, this paper reviews the state-of-the-art research status of DT in the whole lifecycle of the aviation system and concludes that aviation DT is the most widely used in manufacturing and maintenance, and should pay attention to the application of UAV DT. Finally, it summarizes that data fusion, high-fidelity modeling, integration with New IT, and human–machine interaction are the key technologies of aviation DT. The future possible research directions could be digital process twin risk control, interactive DT, and DT data learning. © 2022, The Author(s), under exclusive licence to Springer-Verlag London Ltd., part of Springer Nature.",,Not started,Alex,"October 25, 2022 6:46 PM"
Using digital twin for maintenance applications in manufacturing: State of the Art and Gap analysis,Academic,Conference Paper,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071419741&doi=10.1109%2fICE.2019.8792613&partnerID=40&md5=741b908927a54adc72c18b9567880541,"Condition monitoring, Digital twin, Engineering research, Gap analysis, Maintenance, Manufacture, Predictive Maintenance, State of the art",Greece,2019,"The digital twin concept is more and more appearing in industrial applications including the field of the predictive maintenance. This paper, initially, summarizes and presents studies that use the digital twin concept for digital twin concept for condition monitoring and predictive in manufacturing. Following, the gaps in the existing literature are identified and analyzed and a brief proposition of the way that the already existing state of the art can go further is presented. A future outlook of the research in the particular field is provided. © 2019 IEEE.",,Not started,Alex,"October 25, 2022 6:46 PM"
Digital Twin Analytic Predictive Applications in Cyber-Physical Systems,Academic,Book Chapter,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087560056&doi=10.1007%2f978-3-030-34983-7_35&partnerID=40&md5=3d5f2f883cadebb4653418c15b2dee96,"Automation, Digital twin, Industry 4.0, Intelligent control system, Machine learning, Neural network, Regression","China, Russian Federation",2020,"The article shows the relevance of the use of predictive models of digital counterparts for the formation and analysis of time trends obtained from the sensors of an automated control system. The requirements for the predictive model are shown, machine learning algorithms, regressions for time series forecasting are described, analysis and comparison of algorithms based on RMSE, MAE, R2 error readings are presented. Also, the article shows methods of automatic determination of emissions and novelty in time series and methods of detection of dependencies between parameters are brought. The authors give an example of integration of the predictive model into the infrastructure of a digital double, describe the life cycle and full functionality of such a system. In conclusion, the prospects of using the predictive model in systems where it is difficult to read the necessary parameters with low frequency are shown. © 2020, Springer Nature Switzerland AG.",,Not started,Alex,"October 25, 2022 6:46 PM"
A classification proposal of digital twin applications in the safety domain,Academic,Review,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100026730&doi=10.1016%2fj.cie.2021.107137&partnerID=40&md5=2bc9f89a8e085093e6fea829cc19e07a,"Alert management systems, Data Sharing, Diffusion, Digital twin, Dynamic risk assessment and control, Dynamic risk assessments, Enabling technologies, Industry 4.0, Information management, Innovative technology, Manufacture, Manufacturing sector, Quantitative assessments, Real time systems, Reliability analysis, Risk assessment, Safety engineering, Safety management, Scientific literature, Theoretical validations",Italy,2021,"The increasing diffusion of digitalization in industry and society is forcing the adopting of tools based on new enabling technologies. This phenomenon is clearly observable in the manufacturing sector, where, due to the diffusion of Industry 4.0 paradigm, physical processes are integrating effectively with digital ones. One recent innovative technology is the Digital Twin (DT), where digital models and physical ones communicate – by sharing data as well as information – usually in a bidirectional way. As recent studies have analyzed the current level of adoption of DT technologies in the manufacturing sector, less effort has been focused on evaluating applications in the safety domain. Theoretically, the DT inherent capability of acquiring data from the physical world - usually developed in real time – together with the potentiality of reliable data processing could support a more effective diffusion of dynamic risk assessment models as well as real time alert management systems for improving safety. Otherwise, the actual capability of real applications highly depends on the level of complexity of the specific DT. The aim of the study is to provide a methodology to assess current application of DT technologies, the framework has been developed in the safety domain aiming to point out to researchers as well as technicians in a clear way the capabilities of a specific DT application. The framework has been adopted for analyzing current applications of DT in the scientific literature aiming to propose a theoretical validation. The application has outlined that, although the number of DT applications in the safety field is not so large, the current tools developed are characterized by a high level of complexity thus providing higher reliability to support the specific safety problem in analysis. Further developments will be oriented towards developing a quantitative assessment framework to integrate the proposed tool. © 2021 Elsevier Ltd",,Not started,Alex,"October 25, 2022 6:46 PM"
Application Status and Development Prospects of Digital Twin Technology in Condition Assessment of Power Transmission and Transformation Equipment [数字孪生技术在输变电设备状态评估中的应用现状与发展展望],Academic,Article,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107428869&doi=10.13336%2fj.1003-6520.hve.20210093&partnerID=40&md5=8c0eb1517941449c6ee9e6dee81f6ddf,"Condition assessment of power transmission and transformation equipment, Condition assessments, Construction equipment, Data cleaning, Data communication equipment, Data mining, Depth integrations, Development prospects, Digital twin, Electric power transmission, Fault diagnosis, Metadata, Model construction, Operating characteristics, Operation and maintenance, Operation conditions, Perception Modeling, Power transmission, Quality control, Sensing device, State evaluation, State prediction, Transmissions",China,2021,"The evaluation of the operation condition of power transmission and transformation equipment is an important means to ensure the safe and stable operation of power system. The traditional state evaluation of power transmission and transformation equipment has bottlenecks such as incomplete state perception, low data quality, and difficulty in building evaluation model. Digital twin technology opens up the whole link process of entity-perception-modeling-application. Based on the new sensing technology, the comprehensive perception of the condition of power transmission and transformation equipment is realized. According to the operating characteristics of power transmission and transformation equipment, sensor device evaluation, and data in-depth governance are realized. Based on big data analysis, data mining and other technologies, the digital twin of power transmission and transformation equipment is constructed, which realizes the state differentiation evaluation, accurate fault diagnosis and accurate state prediction of power transmission and transformation equipment. The in-depth integration of digital twin and condition assessment technology will promote the operation and maintenance management of power transmission and transformation equipment to a smart era. This paper analyzes the application of digital twin technology in the condition assessment of power transmission and transformation equipment, and elaborates the specific application of digital twin technology including condition sensing, data governance, model construction, and application. The application status of digital twin technology in the condition assessment of power transmission and transformation equipment is summarized and discussed, and prospects in its future development trend are presented. © 2021, High Voltage Engineering Editorial Department of CEPRI. All right reserved.",,Not started,Alex,"October 25, 2022 6:46 PM"
