papers_name,papers_abstract,papers_year,papers_keywords,papers_type,papers_country,papers_cluster_number,papers_keywords_score
A Digital Twin Demonstrator to enable flexible manufacturing with robotics: a process supervision case study,"Manufacturing companies are facing different challenges. On the one hand, production is moving from mass-production to mass-customization and personalization. Reconfigurable-, adaptive- and evolving-factories are necessary to achieve the required flexibility. On the other hand, technology must be integrated with human skills to assist the operators in supervising and maintaining manufacturing plants with growing complexity. In line with the Industry 4.0 paradigm, a Digital Twin Demonstrator is proposed to support the supervision activity of the operator in the context of flexible manufacturing with robotics. The supervision is achieved through a Human-Computer-Machine Interaction (HCMI) enabled with the Digital Twin technology. The suggested demonstrator is implemented and validated using a lab case study where it is demonstrated how the proposed HCMI interaction enables ‘close-to-real-time’ supervision of the manufacturing system in its self-adaptation to production and environmental changes. © 2021 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",2021,Digital twin Flexible manufacturing systems Human computer interaction Industrial robots Environmental change Flexible manufacturing Manufacturing companies Manufacturing plant Mass customization Personalizations Process supervision Self adaptation RoboticsDigital Twin flexible manufacturing Industry 4.0 process supervision robotics,academic,"Department of Mechanical Engineering, Universidad de Los Andes, Bogotá, Colombia; Department of Mechanical Engineering, Escuela Superior Politécnica de Chimborazo, Riobamba, Ecuador; Department of Industrial Engineering, Universidad de Los Andes, Bogotá, Colombia",15,0.20588235294117646
The development of standardized models of digital twin,"Digital twin is becoming a General Purpose Technology of the coming fourth industrial revolution. However, there is no consistent set of definition, concept system, reference architecture (model), application framework (model), and maturity model of digital twin yet. This paper identifies the relationship among these models, proposes a universal architectural and ontological concept system of digital twin, and a set of unified above models to facilitate the standardization of digital twin. © 2020 Elsevier B.V.. All rights reserved.",2020,Application frameworks Concept Systems General purpose technologies Industrial revolutions Maturity model Reference architecture Standardized models Digital twinapplication framework concept system Digital Twin maturity model reference architecture standardization,academic,"Pera Corporation Ltd., Beijing, 100025, China; Pera Corporation Ltd., Beijing, 100025, China",24,0.2962962962962963
Automated digital twins generation for manufacturing systems: A case study,"The recent industrial scenario was defined by the emergence of digital twins and cyber physical systems as key elements for manufacturers leadership. Digital models can perform good in terms of production planning and control decisions if they are correctly representing their physical counterparts at anytime. Discrete event simulation can be considered as established digital models of manufacturing system, thanks to the proven capabilities of correctly estimating the system performances. Automated simulation model generation techniques can significantly reduce model development phases and allow for using simulation models for short term decisions in production. Application studies and test cases are scarce in the literature. In this paper, we present the application of a digital model generation method. The test case is done exploiting a lab-scale model of a manufacturing system composed by six stations. We investigate how the model generation works online, during the transient phase of a manufacturing system. Results confirm the real-time applicability of the approach provided that sufficient data points are available from the production event logs. © 2021 The Authors. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0)",2021,Discrete event simulation Embedded systems Production control Case-studies Cybe-physical systems Cyber-physical systems Digital modeling Industrial scenarios Model generation Process mining Simulation Simulation model Test case Industry 4.0Digital twins Industry 4.0 Process mining Simulation,academic,"Department of Mechanical Engineering, Politecnico di Milano, Italy",25,0.45454545454545453
"Digital twin technology for modeling, simulation and control of a mechatronic system","Digital transformation involves the use of breaking technologies that increase the knowledge of a physical system. One of these technologies is the Digital Twin, which is a realistic virtual representation that reflects the current conditions of a physical system process that allows advanced and more detailed analysis towards improving system performance and smartness. This paper uses a novel framework for developing Digital Twin applications, which is applied to the velocity and position control problem. The framework involves the steps of target system definition, system documentation, multidomain simulation, Digital Twin assembly and behavioral matching and validation and deployment. Obtained results show how Digital Twin enables new capabilities that can be explored towards smart control engineering. Copyright © 2021 by ASME",2021,'current Breakings Condition Digital transformation Mechatronic systems Modeling simulation Modelling controls Physical systems System process Virtual representations Position control,academic,"Ingegneria dell'automazione industriale, Università degli Studi di Brescia, Brescia, Italy; Department of Mechanical Engineering, University of California, Merced, 95343, CA, United States; Ingegneria Industriale e dell'Informazione, Università degli Studi di Brescia, Brescia, Italy",25,0.21052631578947367
A simulator coupling architecture for the creation of digital twins,"Digital Twins are digital representations of real-world entities. Their behavior resembles the behavior of the real entity at all times. They are candidates for the evaluation of complex adaptive embedded systems, for example in the domains of autonomous driving, or industry 4.0 production systems. However, as most simulators are specialized and only simulate selected aspects of a system with highest accuracy, the creation of a Digital Twin requires the coupling of simulators and their simulation models. Related work indicates that this is still a labor-intensive and manual task. In this paper, we present an architecture framework that transfers approaches from Component-Based Software Engineering to simulator coupling. Simulators are encapsulated as simulation components with defined interfaces. The creation of a Digital Twin is supported by orchestrating simulation components. We present the formal definition of simulation components and our simulation framework, as well as the rules for coupling simulation components into Digital Twins. © Springer Nature Switzerland AG 2020.",2020,Adaptive systems Computer software Embedded systems Simulators Software architecture Adaptive embedded systems Architecture frameworks Component-based software engineering Coupling simulation Digital representations Real-world entities Simulation components Simulation framework Digital twinCBSE Components Digital Twins Simulator coupling,academic,"Fraunhofer Institute IESE, Fraunhofer-Platz 1, Kaiserslautern, 67663, Germany",25,0.2647058823529412
Simulation and digital twin based design of a production line: A case study,"This paper is aimed to optimize a machining cycle for electric motors brake disk support plates. Today it is possible to adopt modeling and simulation techniques that thank to the increasing power of technologies and the Industry 4.0 platform allow understanding the impacts of changes in the production and therefore verifying its effectiveness and limits. In this context, the Digital twin (DT) implements concepts that try to solve the problem of handling large amounts of data that is accessed concurrently and has numerous internal semantic dependencies. The purpose of this paper is to provide an application of DT through the adoption of simulation techniques. The sample takes inspiration from a real plant, which produces anchoring plates for electric motor brake discs The weakness point of the cycle is represented by problems arising from its discontinuity. To simulate and study solutions, AnyLogic software was used to create virtual simulation models. © 2018 Newswood Limited. All rights reserved.",2018,Brakes Electric motors Semantics Simulation platform Anylogic softwares Large amounts of data Machining cycles Modeling and simulation techniques Production line Semantic dependency Simulation technique Virtual simulation models Computer software,academic,"University of Genoa, Department of Mechanical Engineering, Via Opera Pia 15, Genoa, 16132, Italy",25,0.2413793103448276
A digital twin ecosystem for additive manufacturing using a real-time development platform,"Additive manufacturing is often used in rapid prototyping and manufacturing, allowing the creation of lighter, more complex designs that are difficult or too expensive to build using traditional manufacturing methods. This work considers the implementation of a novel digital twin ecosystem that can be used for testing, process monitoring, and remote management of an additive manufacturing–fused deposition modeling machine in a simulated virtual environment. The digital twin ecosystem is comprised of two approaches. One approach is data-driven by an open-source 3D printer web controller application that is used to capture its status and key parameters. The other approach is data-driven by externally mounted sensors to approximate the actual behavior of the 3D printer and achieve accurate synchronization between the physical and virtual 3D printers. We evaluate the sensor-data-driven approach against the web controller approach, which is considered to be the ground truth. We achieve near-real-time synchronization between the physical machine and its digital counterpart and have validated the digital twin in terms of position, temperature, and run duration. Our digital twin ecosystem is cost-efficient, reliable, replicable, and hence can be utilized to provide legacy equipment with digital twin capabilities, collect historical data, and generate analytics. © 2022, The Author(s), under exclusive licence to Springer-Verlag London Ltd., part of Springer Nature.",2022,Deposition Ecosystems Process monitoring Simulation platform Virtual reality Data driven Deposition modeling Development platform Fused deposition modeling Manufacturing IS Rapid-prototyping Real- time Simulation Time development Unity 3d 3D printersAdditive manufacturing Digital twin Fused deposition modeling Simulation Unity 3D,academic,"Industrial and Systems Engineering, Auburn University, 357-359 W Magnolia Ave, Auburn, 36832, AL, United States",45,0.23684210526315788
A Digital Twin Approach for the Prediction of the Geometry of Single Tracks Produced by Laser Metal Deposition,"Flexible manufacturing processes such as laser metal deposition exhibit high potential for a production solely defined by software to cope with the current challenges of production systems. The determination of suitable machine parameters for the production of novel materials and geometries however requires extensive experimental effort. Existing simulative approaches do not offer sufficient accuracy to predict the relevant machine parameters in a satisfactory way. This paper presents a new concept, in which we apply a digital twin to provide a step towards a fully software-defined and predictable laser metal deposition process. The presented concept includes relevant data of the machines as well as data-driven machine learning models and physics-based simulation models. This enables a more reliable prediction of geometries of single tracks which was validated on a laser metal deposition machine. © 2022 The Authors. Published by Elsevier B.V.",2022,Deposition Forecasting Metals 'current Asset administration shell Flexible manufacturing High potential Laser metal deposition Machine parameters Manufacturing process Production system Single-tracks Software defined manufacturing GeometryAsset Administration Shell Digital Twin Laser metal deposition Software defined manufacturing,academic,"Graduate School of Excellence Advanced Manufacturing Engineering (GSaME), University of Stuttgart, Nobelstraße 12, Stuttgart, 70569, Germany; Institut für Strahlwerkzeuge (IFSW), University of Stuttgart, Pfaffenwaldring 43, Stuttgart, 70569, Germany; Institute of Industrial Automation and Software Engineering (IAS), University of Stuttgart, Pfaffenwaldring 47, Stuttgart, 70550, Germany; TRUMPF Laser- und Systemtechnik GmbH, Johann-Maus-Straße 2, Ditzingen, 71254, Germany; J. Schmalz GmbH, Johannes-Schmalz-Straße. 1, Glatten, 72293, Germany",45,0.2
A digital twin framework for performance monitoring and anomaly detection in fused deposition modeling,"Digital twin (DT) and additive manufacturing (AM) technologies are key enablers for smart manufacturing systems. DTs of AM systems are proposed in recent literature to provide additional analysis and monitoring capabilities to the physical AM processes. This work proposes a DT framework for real-time performance monitoring and anomaly detection in fused deposition modeling (FDM) AM process. The proposed DT framework can accommodate AM process measurement data to model the AM process as a cyber-physical system with continuous and discrete event dynamics, and allow for the development of various applications. A new performance metric is proposed for performance monitoring and a formal specification based anomaly detection method is proposed for AM processes. Implementation of the proposed DT on an off-the-shelf FDM printer and experimental results of anomaly detection and process monitoring are presented at the end. © 2019 IEEE.",2019,Deposition Discrete event simulation Embedded systems Fused Deposition Modeling Layered manufacturing Process monitoring Anomaly detection methods Discrete event dynamics Monitoring capabilities Performance metrices Performance monitoring Process measurements Real time performance Anomaly detection,academic,"Department of Mechanical Engineering, University of Michigan, Ann Arbor, 48109, MI, United States",45,0.28125
"A Simulation-based Process Model for the Realization of a Matrix Manufacturing System Planning, Evaluation and Digital Twin in the Electronics Industry at Siemens AG Karlsruhe; [Simulationsgestütztes Vorgehensmodell zur Realisierung einer Matrixfertigung Planung, Bewertung und Digitaler Zwilling in der Elektronikindustrie bei der Siemens AG Karlsruhe]","Siemens AG in Karlsruhe is facing the current challenges of increasing product complexity with a higher number of variants, reduced batch sizes and shorter product life cycles. In order to restructure their manufacturing system towards a .,matrix production in flow"", a process model for replanning and restructuring was designed to serve as a guideline. Supported by the digital twin and simulation studies, an optimized module configuration towards a highly flexible manufacturing with driverless transport vehicles is shown. Challenges such as complex production control can be supported by the digital twin.  © 2022 Walter de Gruyter GmbH, Berlin/Boston.",2022,Life cycle Production control Silver Electronic industries Holistic production system matrix Matrix manufacturing system Production system Siemens Simulation Simulation-based process model System planning ManufactureDigital Twin Holistic Production System Matrix Matrix Manufacturing System Simulation,academic,"Siemens AG Digital Industries - Process Automation, Östliche Rheinbrückenstr. 50, Karlsruhe, 76187, Germany",53,0.30303030303030304
"A Simulation-based Process Model for the Realization of a Matrix Manufacturing System-Planning, Evaluation and Digital Twin in the Electronics Industry at Siemens AG Karlsruhe; [Simulationsgestütztes Vorgehensmodell zur Realisierung einer Matrixfertigung: Planung, Bewertung und Digitaler Zwilling in der Elektronikindustrie bei der Siemens AG Karlsruhe]","Siemens AG in Karlsruhe is facing the current challenges of increasing product complexity with a higher number of variants, reduced batch sizes and shorter product life cycles. In order to restructure their manufacturing system towards a „matrix production in flow“, a process model for replanning and restructuring was designed to serve as a guideline. Supported by the digital twin and simulation studies, an optimized module configuration towards a highly flexible manufacturing with driverless transport vehicles is shown. Challenges such as complex production control can be supported by the digital twin. © 2022 Walter de Gruyter GmbH, Berlin/Boston, Germany.",2022,Life cycle Production control Electronic industries Holistic production system matrix Matrix manufacturing system Production system Siemens Simulation Simulation-based process model System planning ManufactureDigital Twin Holistic Production System Matrix Matrix Manufacturing System Simulation,academic,"Siemens AG Digital Industries-Process Automation, Östliche Rheinbrückenstr 50, Karlsruhe, 76187, Germany",53,0.3125
Digital twin-based job shop anomaly detection and dynamic scheduling,"Scheduling scheme is one of the critical factors affecting the production efficiency. In the actual production, anomalies will lead to scheduling deviation and influence scheme execution, which makes the traditional job shop scheduling methods are not sufficient to meet the needs of real-time and accuracy. By introducing digital twin (DT), further convergence between physical and virtual space can be achieved, which enormously reinforces real-time performance of job shop scheduling. For flexible job shop, an anomaly detection and dynamic scheduling framework based on DT is proposed in this paper. Previously, a multi-level production process monitoring model is proposed to detect anomaly. Then, a real-time optimization strategy of scheduling scheme based on rolling window mechanism is explored to enforce dynamic scheduling optimization. Finally, the improved grey wolf optimization algorithm is introduced to solve the scheduling problem. Under this framework, it is possible to monitor the deviation between the actual processing state and the planned processing state in real time and effectively reduce the deviation. An equipment manufacturing job shop is taken as a case study to illustrate the effectiveness and advantages of the proposed framework. © 2022",2023,Anomaly detection Dynamics Job shop scheduling Process control Production efficiency Digital twin Gray wolf optimization algorithm Gray wolves Level productions Monitoring models Multi-level production process monitoring model Multilevels Optimization algorithms Optimization strategy Production process Real time scheduling Real-time scheduling optimization strategy Rolling window Rolling window mechanism Scheduling optimization Process monitoringDigital twin (DT) Grey wolf optimization algorithm Multi-level production process monitoring model Real-time scheduling optimization strategy Rolling window mechanism,academic,"School of Mechanical and Electronic Engineering, Wuhan University of Technology, Wuhan, China; Department of Production Engineering, KTH Royal Institute of Technology, Stockholm, Sweden; Hubei Digital Manufacturing Key Laboratory, Wuhan University of Technology, Wuhan, 430070, China",59,0.20588235294117646
Digital twin-based production scheduling system for heavy truck frame shop,"Existing scheduling systems cannot respond quickly and efficiently to the appearance of uncertain variable interference factors in the scheduling process. The efficiency of the enterprise is hence seriously affected by these factors. The concept of the digital twin provides new research directions for scheduling systems. In order to improve the overall performance of the production scheduling system in a frame shop, virtual-real fusion technology utilizing the digital twin is first introduced to integrate the information and logistics flows in the scheduling process as part of the manufacturing execution system-based production scheduling mechanism. The balance optimization of the mixed-flow production line is then carried out, and the mixed-flow production line balance and sequencing models are established. A scheduling system for the frame shop combining various system functions is finally designed based on the sequencing model and production status. The scheduling system comprehensively considers the two uncertain factors of materials and orders to generate scheduling information through an intelligent scheduling mode while realizing real-time synergy between the information and logistics flows. The system has achieved excellent implementation results in the frame shop and provides a reference for the application of digital twins in production workshops. © IMechE 2020.",2022,Digital twin Manufacture Production control Balance optimization Intelligent scheduling Interference factor Manufacturing Execution System Production Scheduling Production scheduling system Production workshops Scheduling information SchedulingDigital twin mixed flow production line balance production system sorting model virtual-real fusion,academic,"School of Mechanical Engineering, Xi'an University of Science and Technology, Shaanxi, China",59,0.25
